"","joint_model.statistics.P.betas1"
"(Intercept)",0.234666666666667
"month",0
"Dx.Status",0
"CountryUSA",0.809333333333333
"SexMale",0.0475555555555556
"Delivery.ModeVaginal",0.196888888888889
"HLA.CategoryLow/No Risk",0.485111111111111
"HLA.CategoryStandard Risk",0.506444444444444
"feeding_first_yearBreastmilk_and_formula",0.221555555555556
"feeding_first_yearFormula",0.584666666666667
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.464666666666667
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0.006
"Age.at.Gluten.Introduction..months.7",0.102222222222222
"Age.at.Gluten.Introduction..months.8",0.0888888888888889
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.394222222222222
"Age.at.Solid.Introduction..months.5",0.588666666666667
"Age.at.Solid.Introduction..months.6",0.830444444444444
"Age.at.Solid.Introduction..months.7",0.689111111111111
"Age.at.Solid.Introduction..months.8",0.0811111111111111
