"","joint_model.statistics.P.betas1"
"(Intercept)",0.0737777777777778
"month",0.00177777777777778
"Dx.Status",0
"CountryUSA",0
"SexMale",0
"Delivery.ModeVaginal",0.0766666666666667
"HLA.CategoryLow/No Risk",0.0615555555555556
"HLA.CategoryStandard Risk",0
"feeding_first_yearBreastmilk_and_formula",0.366888888888889
"feeding_first_yearFormula",0.145333333333333
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.789111111111111
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0.982888888888889
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.792222222222222
"Age.at.Solid.Introduction..months.5",0.297111111111111
"Age.at.Solid.Introduction..months.6",0.194
"Age.at.Solid.Introduction..months.7",0.182666666666667
"Age.at.Solid.Introduction..months.8",0
