"","joint_model.statistics.P.betas1"
"(Intercept)",0.126444444444444
"month",0
"Dx.Status",0
"CountryUSA",0.947555555555556
"SexMale",0.000222222222222222
"Delivery.ModeVaginal",0.248888888888889
"HLA.CategoryLow/No Risk",0.889111111111111
"HLA.CategoryStandard Risk",0.0622222222222222
"feeding_first_yearBreastmilk_and_formula",0.128222222222222
"feeding_first_yearFormula",0.884888888888889
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.14
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0.00555555555555556
"Age.at.Gluten.Introduction..months.7",0.0813333333333333
"Age.at.Gluten.Introduction..months.8",0.0922222222222222
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.124444444444444
"Age.at.Solid.Introduction..months.5",0.322444444444444
"Age.at.Solid.Introduction..months.6",0.628888888888889
"Age.at.Solid.Introduction..months.7",0.416888888888889
"Age.at.Solid.Introduction..months.8",0.0304444444444444
