"","joint_model.statistics.P.betas1"
"(Intercept)",0.736888888888889
"month",0
"Dx.Status",0
"CountryUSA",0.907333333333333
"SexMale",0.201111111111111
"Delivery.ModeVaginal",0.300888888888889
"HLA.CategoryLow/No Risk",0.291555555555556
"HLA.CategoryStandard Risk",0.705333333333333
"feeding_first_yearBreastmilk_and_formula",0.157111111111111
"feeding_first_yearFormula",0.764222222222222
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.408222222222222
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0.249777777777778
"Age.at.Gluten.Introduction..months.7",0.281333333333333
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.096
"Age.at.Solid.Introduction..months.5",0.349333333333333
"Age.at.Solid.Introduction..months.6",0.495555555555556
"Age.at.Solid.Introduction..months.7",0.342666666666667
"Age.at.Solid.Introduction..months.8",0.0335555555555556
