"","joint_model.statistics.P.gammas"
"Virus",0.914222222222222
"CountryUSA",0.850222222222222
"SexMale",0
"Delivery.ModeVaginal",0
"HLA.CategoryLow/No Risk",0.992444444444444
"HLA.CategoryStandard Risk",0.735111111111111
"feeding_first_yearBreastmilk_and_formula",0.00644444444444444
"feeding_first_yearFormula",0.523111111111111
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.509777777777778
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.840444444444444
"Age.at.Solid.Introduction..months.5",0.00644444444444444
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.00733333333333333
"Age.at.Solid.Introduction..months.8",0
