"","joint_model.statistics.P.gammas"
"Virus",0.846666666666667
"CountryUSA",0.394666666666667
"SexMale",0
"Delivery.ModeVaginal",0
"HLA.CategoryLow/No Risk",0.976222222222222
"HLA.CategoryStandard Risk",0.326888888888889
"feeding_first_yearBreastmilk_and_formula",0.227777777777778
"feeding_first_yearFormula",0.634
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.766666666666667
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.995111111111111
"Age.at.Solid.Introduction..months.5",0.190666666666667
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
