"","joint_model.statistics.P.gammas"
"Virus",0.945333333333333
"CountryUSA",0.735777777777778
"SexMale",0
"Delivery.ModeVaginal",0.00266666666666667
"HLA.CategoryLow/No Risk",0.757555555555556
"HLA.CategoryStandard Risk",0.676
"feeding_first_yearBreastmilk_and_formula",0.25
"feeding_first_yearFormula",0.437333333333333
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.818
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.944666666666667
"Age.at.Solid.Introduction..months.5",0.247111111111111
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.00133333333333333
"Age.at.Solid.Introduction..months.8",0
