"","joint_model.statistics.P.gammas"
"Virus",0.506222222222222
"CountryUSA",0.941333333333333
"SexMale",0
"Delivery.ModeVaginal",0.500444444444444
"HLA.CategoryLow/No Risk",0.805111111111111
"HLA.CategoryStandard Risk",0.722888888888889
"feeding_first_yearBreastmilk_and_formula",0.532222222222222
"feeding_first_yearFormula",0.257333333333333
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.834444444444444
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.470888888888889
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
