"orf_id_short","logFC","AveExpr","t","P.Value","adj.P.Val","B","orf_id_original","taxid","rank","taxonomy","score","matches","aligned","coverage","lineage"
"edge_1468",0.0775140956098163,1.27867274465542,4.42248569076696,1.62723533958279e-05,9.7760917933896e-05,2.65619306236418,"edge_1468_62",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.0806378432473257,1.30534784340557,4.64348498164622,5.90315492534272e-06,5.43983957861264e-05,3.6005119920402,"edge_1468_57",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.0822949811815413,1.2452115689413,4.11808999434953,5.76351418733985e-05,0.000217739287601852,1.47684431791909,"edge_1468_12",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.0732097015747325,1.26354022207908,3.91279830874082,0.000131988437330476,0.000393046565523305,0.713314934973047,"edge_1468_50",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.0791141686596539,1.2445682397719,4.40431136497267,1.82723322925734e-05,0.00010536934561733,2.551652463766,"edge_1468_49",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.0816309225698574,1.2926048555414,4.44798854803399,1.45783819512212e-05,9.13815649137525e-05,2.76029503878303,"edge_1468_14",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.0740883998921177,1.28331277887599,3.69916427830848,0.000291707775173475,0.000709484841194793,-0.0198056203260979,"edge_1468_58",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.070955807440306,1.3905557054267,3.46593367619368,0.000847519585612915,0.00165317326676897,-0.938685916513272,"edge_1468_73",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.0804228588719823,1.25750656772863,4.33066110214185,2.13245429683961e-05,0.000113911473177598,2.38809515624355,"edge_1468_43",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.0778690374658915,1.22471244765902,4.94424082702031,2.46548554513342e-06,3.27739544016874e-05,4.46570965369045,"edge_1468_61",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.0743754291300439,1.22435366163768,4.81554913577553,2.43511149564171e-06,3.27465865663912e-05,4.41609395225498,"edge_1468_44",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.0852452816208753,1.32144637335934,3.99782924491976,0.000112231709256839,0.000352227874506199,0.894035868444788,"edge_1468_41",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.0834829969167583,1.32672115338047,4.56852146871017,7.99433301211408e-06,6.34034416197778e-05,3.3121700199148,"edge_1468_16",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.0729887057778805,1.21694325300713,3.59446497496675,0.000446453873881626,0.000995803095745612,-0.40521113840326,"edge_1468_77",1,"no rank","root",116,76,76,1,"1"
"edge_1468",0.0754646061770995,1.29693365766368,4.53145993706635,8.34437515616918e-06,6.47669118665078e-05,3.2580948786125,"edge_1468_71",1,"no rank","root",116,76,76,1,"1"
