"cluster","pattern_type","n_orfs","mean_slope","mean_variance"
1,"increasing",248,0.280631225926041,1.42996781358313
2,"increasing",46,0.443541063632304,3.25572755794068
3,"complex",4,0.0725668203296899,1.09315432651712
3,"increasing",21,0.110586872390331,0.553962619325392
3,"stable",326,0.0587730214507255,0.488539451207681
4,"complex",36,-0.0139972182690048,1.11236705073303
4,"stable",227,-0.0166590017434968,0.583358015464822
5,"complex",23,-0.0695603047917549,1.40910176846788
5,"decreasing",50,-0.151130056286646,1.49742049719653
5,"stable",2,-0.0854802394162233,0.905686859026117
6,"complex",10,0.0749502019333133,1.13617644780579
6,"increasing",166,0.135638624746135,0.672749449948102
6,"stable",96,0.0785321490640697,0.600941217702134
7,"increasing",92,0.38045211324319,2.43672596943281
8,"increasing",221,0.139480353868081,0.641552307092166
8,"stable",49,0.0831943472134456,0.369747026455984
9,"increasing",392,0.203320283882645,0.974368751989846
