"","joint_model.statistics.P.gammas"
"Virus",0.024
"CountryUSA",0.458666666666667
"SexMale",0.00133333333333333
"Delivery.ModeVaginal",0.0188888888888889
"HLA.CategoryLow/No Risk",0.921555555555556
"HLA.CategoryStandard Risk",0.608888888888889
"feeding_first_yearBreastmilk_and_formula",0.660222222222222
"feeding_first_yearFormula",0.018
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.641333333333333
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.00533333333333333
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
