"","joint_model.statistics.P.gammas"
"CountryUSA",0.0928888888888889
"SexMale",0
"Delivery.ModeVaginal",0.0115555555555556
"HLA.CategoryLow/No Risk",0.0813333333333333
"HLA.CategoryStandard Risk",0
"feeding_first_yearBreastmilk_and_formula",0.252444444444444
"feeding_first_yearFormula",0.102444444444444
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.724444444444444
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.548888888888889
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
