"","joint_model.statistics.P.gammas"
"CountryUSA",0.119333333333333
"SexMale",0
"Delivery.ModeVaginal",0.00666666666666667
"HLA.CategoryLow/No Risk",0.334888888888889
"HLA.CategoryStandard Risk",0.203333333333333
"feeding_first_yearBreastmilk_and_formula",0.319555555555556
"feeding_first_yearFormula",0.592222222222222
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.960666666666667
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
