"","joint_model.statistics.P.gammas"
"CountryUSA",0.135333333333333
"SexMale",0.0133333333333333
"Delivery.ModeVaginal",0.008
"HLA.CategoryLow/No Risk",0.998444444444444
"HLA.CategoryStandard Risk",0.53
"feeding_first_yearBreastmilk_and_formula",0.277333333333333
"feeding_first_yearFormula",0.342444444444444
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.904444444444444
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
