"","joint_model.statistics.P.betas1"
"(Intercept)",0.639777777777778
"month",0
"Dx.Status",0
"CountryUSA",0.858
"SexMale",0
"Delivery.ModeVaginal",0.200222222222222
"HLA.CategoryLow/No Risk",0.529777777777778
"HLA.CategoryStandard Risk",0.416888888888889
"feeding_first_yearBreastmilk_and_formula",0.199777777777778
"feeding_first_yearFormula",0.658
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.838888888888889
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0.00244444444444444
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.0922222222222222
"Age.at.Solid.Introduction..months.5",0.256888888888889
"Age.at.Solid.Introduction..months.6",0.576444444444444
"Age.at.Solid.Introduction..months.7",0.383111111111111
"Age.at.Solid.Introduction..months.8",0.351333333333333
