"","joint_model.statistics.P.betas1"
"(Intercept)",0.178888888888889
"month",0
"Dx.Status",0
"CountryUSA",0.776
"SexMale",0
"Delivery.ModeVaginal",0.135777777777778
"HLA.CategoryLow/No Risk",0.238444444444444
"HLA.CategoryStandard Risk",0.681777777777778
"feeding_first_yearBreastmilk_and_formula",0.88
"feeding_first_yearFormula",0.565111111111111
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.514
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0.0493333333333333
"Age.at.Gluten.Introduction..months.8",0.00355555555555556
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.452
"Age.at.Solid.Introduction..months.5",0.759333333333333
"Age.at.Solid.Introduction..months.6",0.957111111111111
"Age.at.Solid.Introduction..months.7",0.862444444444444
"Age.at.Solid.Introduction..months.8",0.00622222222222222
