"","joint_model.statistics.P.gammas"
"CountryUSA",0.334888888888889
"SexMale",0
"Delivery.ModeVaginal",0.0686666666666667
"HLA.CategoryLow/No Risk",0
"HLA.CategoryStandard Risk",0.679555555555556
"feeding_first_yearBreastmilk_and_formula",0.666666666666667
"feeding_first_yearFormula",0.667333333333333
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.431777777777778
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.472888888888889
"Age.at.Solid.Introduction..months.5",0.850444444444444
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.00333333333333333
"Age.at.Solid.Introduction..months.8",0
