"","joint_model.statistics.P.betas1"
"(Intercept)",0.388444444444444
"month",0
"Dx.Status",0
"CountryUSA",0.539555555555556
"SexMale",0.0173333333333333
"Delivery.ModeVaginal",0.0233333333333333
"HLA.CategoryLow/No Risk",0.750666666666667
"HLA.CategoryStandard Risk",0.476666666666667
"feeding_first_yearBreastmilk_and_formula",0.0562222222222222
"feeding_first_yearFormula",0.625333333333333
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.226666666666667
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0.01
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.0826666666666667
"Age.at.Solid.Introduction..months.5",0.130888888888889
"Age.at.Solid.Introduction..months.6",0.330444444444444
"Age.at.Solid.Introduction..months.7",0.192444444444444
"Age.at.Solid.Introduction..months.8",0.102222222222222
