"","joint_model.statistics.P.gammas"
"CountryUSA",0.376444444444444
"SexMale",0
"Delivery.ModeVaginal",0.0277777777777778
"HLA.CategoryLow/No Risk",0.219555555555556
"HLA.CategoryStandard Risk",0.357333333333333
"feeding_first_yearBreastmilk_and_formula",0.696888888888889
"feeding_first_yearFormula",0.172444444444444
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.455555555555556
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.0537777777777778
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.000444444444444444
"Age.at.Solid.Introduction..months.8",0
