"","joint_model.statistics.P.betas1"
"(Intercept)",0.287555555555556
"month",0
"Dx.Status",0
"CountryUSA",0.823333333333333
"SexMale",0
"Delivery.ModeVaginal",0.343555555555556
"HLA.CategoryLow/No Risk",0.464666666666667
"HLA.CategoryStandard Risk",0.709333333333333
"feeding_first_yearBreastmilk_and_formula",0.318222222222222
"feeding_first_yearFormula",0.532666666666667
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.237111111111111
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.00111111111111111
"Age.at.Solid.Introduction..months.5",0.0211111111111111
"Age.at.Solid.Introduction..months.6",0.453111111111111
"Age.at.Solid.Introduction..months.7",0.103333333333333
"Age.at.Solid.Introduction..months.8",0.068
