"","joint_model.statistics.P.gammas"
"CountryUSA",0.139555555555556
"SexMale",0.00355555555555556
"Delivery.ModeVaginal",0.018
"HLA.CategoryLow/No Risk",0.272222222222222
"HLA.CategoryStandard Risk",0.499555555555556
"feeding_first_yearBreastmilk_and_formula",0.669333333333333
"feeding_first_yearFormula",0.136222222222222
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.579777777777778
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
