genome	genus	species
OFMT01000022	genus__1	species__37
OLOG01000029	genus__1	species__37
OICR01000007	genus__1	species__37
OGZB01000001	genus__1	species__37
OHBE01000017	genus__1	species__48
OGZF01000022	genus__1	species__48
OFPS01000054	genus__1	species__48
OHKV01000027	genus__1	species__49
OHMY01000035	genus__1	species__49
OHQS01000030	genus__1	species__49
OMDY01000016	genus__1	species__60
OLZO01000021	genus__1	species__60
OJQQ01000027	genus__1	species__79
OHYE01000011	genus__1	species__80
OLQV01000028	genus__1	species__81
PPYF01266999	genus__1	species__84
OFMU01000028	genus__1	species__85
OJOU01000011	genus__1	species__86
OIAT01000008	genus__1	species__88
OHEN01000023	genus__1	species__89
OGOO01000044	genus__1	species__90
OHXK01000005	genus__1	species__93
sample-1_4_157545	genus__2	species__30
sample-1_3125_2250	genus__2	species__30
sample-1_6_155389	genus__2	species__30
OFLY01000012	genus__2	species__30
OICG01000006	genus__2	species__30
OBWI01000023	genus__2	species__31
OCPY01000015	genus__2	species__31
OIZE01000030	genus__2	species__31
OCHF01000011	genus__2	species__31
OCPZ01000017	genus__2	species__31
OLJW01000056	genus__2	species__50
OJSE01000052	genus__2	species__50
OJUG01000072	genus__2	species__50
sample-1_5_155540	genus__2	species__82
OLOZ01000027	genus__2	species__83
sample-1_7_152939	genus__2	species__87
OIWQ01000029	genus__2	species__91
OGZF01000025	genus__2	species__92
OMGY01000027	genus__2	species__94
OMFN01000011	genus__3	species__29
OKSX01000010	genus__3	species__29
OHIN01000009	genus__3	species__29
OHPI01000007	genus__3	species__29
OHTA01000010	genus__3	species__29
OMAL01000015	genus__3	species__35
OMBP01000015	genus__3	species__35
OGQH01000028	genus__3	species__35
OMEV01000014	genus__3	species__35
OCPV01000032	genus__3	species__36
phage_1	genus__3	species__36
OGOG01000008	genus__3	species__36
PPYE01511035	genus__3	species__36
OHMA01000001	genus__3	species__43
QWCN01000029	genus__3	species__43
OFMT01000010	genus__3	species__43
OMGK01000003	genus__3	species__68
ERR589512_NODE_245_length_104299_cov_30.5927	genus__4	species__11
HvCF_E4_ms_4	genus__4	species__11
MZ130498_1_104752	genus__4	species__11
SRS011302_NODE_90_length_100096_cov_55.6308	genus__4	species__11
OJRV01000117	genus__4	species__11
OHAU01000141	genus__4	species__11
3300007098_____Ga0102540_100090	genus__4	species__11
OGWT01000016	genus__4	species__11
3300008725_____Ga0115670_1000139	genus__4	species__11
ERR589814_NODE_185_length_102005_cov_6.51113	genus__4	species__11
NG-15813_95_lib254056_NODE_1_length_102100_cov_1588.91	genus__4	species__39
MZ130496_1_102100	genus__4	species__39
MT774399_1_99168	genus__4	species__39
MT774403_1_98557	genus__4	species__39
MT774395_1_103665	genus__4	species__96
MT774398_1_100198	genus__4	species__106
sample-1_2895_2535	genus__4	species__137
MT774410_1_98667	genus__5	species__113
MT774411_1_97886	genus__5	species__115
sample-1_2023_3705	genus__5	species__133
sample-1_3406_1938	genus__5	species__138
sample-1_4411_1265	genus__5	species__147
sample-1_4409_1266	genus__6	species__25
sample-1_241_22966	genus__6	species__25
OBKI01000059	genus__6	species__25
MN917146_1_93030	genus__6	species__25
SRR4295175_ms_5	genus__6	species__25
Sib2_ms_2	genus__6	species__25
OLFZ01000108	genus__6	species__25
HvCF_D5_ms_4	genus__6	species__28
NG-14571_96_NODE_2_length_96466_cov_151.499	genus__6	species__28
