"","joint_model.statistics.P.betas1"
"(Intercept)",0
"month",0
"Dx.Status",0
"CountryUSA",0.288
"SexMale",0
"Delivery.ModeVaginal",0.0277777777777778
"HLA.CategoryLow/No Risk",0.833333333333333
"HLA.CategoryStandard Risk",0.628222222222222
"feeding_first_yearBreastmilk_and_formula",0.473111111111111
"feeding_first_yearFormula",0.653111111111111
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.240666666666667
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.058
"Age.at.Solid.Introduction..months.5",0.297111111111111
"Age.at.Solid.Introduction..months.6",0.717333333333333
"Age.at.Solid.Introduction..months.7",0.212
"Age.at.Solid.Introduction..months.8",0
