"","joint_model.statistics.P.betas1"
"(Intercept)",0
"month",0
"Dx.Status",0.243555555555556
"CountryUSA",0.666666666666667
"SexMale",0
"Delivery.ModeVaginal",0.535777777777778
"HLA.CategoryLow/No Risk",0.606222222222222
"HLA.CategoryStandard Risk",0.355111111111111
"feeding_first_yearBreastmilk_and_formula",0.666666666666667
"feeding_first_yearFormula",0
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.359333333333333
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.13
"Age.at.Solid.Introduction..months.5",0.666888888888889
"Age.at.Solid.Introduction..months.6",0.905555555555556
"Age.at.Solid.Introduction..months.7",0.921777777777778
"Age.at.Solid.Introduction..months.8",0
