"","joint_model.statistics.P.gammas"
"Virus",0.000666666666666667
"CountryUSA",0.981333333333333
"SexMale",0.266888888888889
"Delivery.ModeVaginal",0.00266666666666667
"HLA.CategoryLow/No Risk",0.248888888888889
"HLA.CategoryStandard Risk",0.642888888888889
"feeding_first_yearBreastmilk_and_formula",0.509777777777778
"feeding_first_yearFormula",0
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.981111111111111
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.0555555555555556
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
