"","joint_model.statistics.P.gammas"
"Virus",0.901111111111111
"CountryUSA",0.573333333333333
"SexMale",0.00133333333333333
"Delivery.ModeVaginal",0.0135555555555556
"HLA.CategoryLow/No Risk",0.620888888888889
"HLA.CategoryStandard Risk",0.108222222222222
"feeding_first_yearBreastmilk_and_formula",0.859111111111111
"feeding_first_yearFormula",0.0564444444444444
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.927333333333333
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.0855555555555556
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.00266666666666667
"Age.at.Solid.Introduction..months.8",0
