"","joint_model.statistics.P.gammas"
"Virus",0.636222222222222
"CountryUSA",0.226222222222222
"SexMale",0.0148888888888889
"Delivery.ModeVaginal",0
"HLA.CategoryLow/No Risk",0.0282222222222222
"HLA.CategoryStandard Risk",0.004
"feeding_first_yearBreastmilk_and_formula",0.406666666666667
"feeding_first_yearFormula",0.454444444444444
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.591555555555556
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.000666666666666667
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.000222222222222222
"Age.at.Solid.Introduction..months.8",0
