"","joint_model.statistics.P.gammas"
"Virus",0.0748888888888889
"CountryUSA",0.239777777777778
"SexMale",0
"Delivery.ModeVaginal",0.00422222222222222
"HLA.CategoryLow/No Risk",0.293555555555556
"HLA.CategoryStandard Risk",0.188666666666667
"feeding_first_yearBreastmilk_and_formula",0.0711111111111111
"feeding_first_yearFormula",0.140888888888889
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.671555555555556
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
