"","joint_model.statistics.P.betas1"
"(Intercept)",0.527111111111111
"month",0
"Dx.Status",0
"CountryUSA",0.736444444444444
"SexMale",0
"Delivery.ModeVaginal",0.0557777777777778
"HLA.CategoryLow/No Risk",0.974222222222222
"HLA.CategoryStandard Risk",0.757777777777778
"feeding_first_yearBreastmilk_and_formula",0.00133333333333333
"feeding_first_yearFormula",0.666666666666667
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0.000888888888888889
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.0151111111111111
"Age.at.Solid.Introduction..months.5",0.465555555555556
"Age.at.Solid.Introduction..months.6",0.573555555555556
"Age.at.Solid.Introduction..months.7",0.529333333333333
"Age.at.Solid.Introduction..months.8",0.00266666666666667
