"","joint_model.statistics.P.gammas"
"Virus",0.949111111111111
"CountryUSA",0.940888888888889
"SexMale",0
"Delivery.ModeVaginal",0.0193333333333333
"HLA.CategoryLow/No Risk",0.973333333333333
"HLA.CategoryStandard Risk",0.486888888888889
"feeding_first_yearBreastmilk_and_formula",0.202222222222222
"feeding_first_yearFormula",0.460666666666667
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.460888888888889
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.870888888888889
"Age.at.Solid.Introduction..months.5",0.0433333333333333
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
