"","joint_model.statistics.P.betas1"
"(Intercept)",0
"month",0
"Dx.Status",0.666666666666667
"CountryUSA",0
"SexMale",0.666666666666667
"Delivery.ModeVaginal",0.666666666666667
"HLA.CategoryLow/No Risk",0
"HLA.CategoryStandard Risk",0
"feeding_first_yearBreastmilk_and_formula",0
"feeding_first_yearFormula",0
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.666666666666667
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0.666666666666667
"Age.at.Solid.Introduction..months.7",0.666666666666667
"Age.at.Solid.Introduction..months.8",0
