"","joint_model.statistics.P.gammas"
"Virus",0.294
"CountryUSA",0.396
"SexMale",0
"Delivery.ModeVaginal",0.00844444444444444
"HLA.CategoryLow/No Risk",0.798222222222222
"HLA.CategoryStandard Risk",0.576222222222222
"feeding_first_yearBreastmilk_and_formula",0.653777777777778
"feeding_first_yearFormula",0.623333333333333
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.523333333333333
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.521555555555556
"Age.at.Solid.Introduction..months.5",0.190444444444444
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.00444444444444444
"Age.at.Solid.Introduction..months.8",0
