"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Deltapolyomavirus;Human polyomavirus 10",3.80960117523034,-2.54962008268589,0.768481747731106,-3.31773668042667,0.000907499935000727,0.0132004755758666
"Viruses;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;unclassified Papillomaviridae genus;unclassified Papillomaviridae species",6.74451963226804,-3.93112133825405,0.889832445139513,-4.41782198404521,9.97004811923832e-06,0.000415893435831084
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Ambidensovirus;Lupine feces-associated densovirus 2",4.6777596966112,4.31794902472201,1.17446929958911,3.6765107663799,0.000236445880633334,0.00531093824191796
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Ambidensovirus;unclassified Ambidensovirus species",1.45099358682196,2.00457476046163,0.566197007369081,3.540419208106,0.000399491927573175,0.00777677619009115
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Burkina Faso astrovirus",1.41647567114182,-1.75991071724194,0.588759094379368,-2.98918646699992,0.00279721365752378,0.0340327661665393
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Human astrovirus MLB2",1.92378203845744,2.35648280687481,0.697408970900905,3.37891094780546,0.00072773577130926,0.0118054914012391
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Adenovirus Lopburi070_2006_THA",4.3735911987058,4.84313094498221,0.733733100887223,6.60067119655082,4.09300429338991e-11,5.97578626834927e-09
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Adenovirus Lopburi078_2006_THA",1.34481123358768,2.08248114401633,0.582183859208742,3.57701628287441,0.000347538532847561,0.00724866082796342
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus B",2.53050808422115,4.21924442326078,0.726689432451818,5.80611776481355,6.39379987849543e-09,4.30182321086175e-07
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus E",1.26700638309636,2.11968083999311,0.558700145914561,3.79395075425174,0.000148269092822927,0.00393587046402678
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus G",1.26687866752424,1.99664672315336,0.569110143400715,3.508366080461,0.000450868166707331,0.00822834404240879
