"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",260077562.247557,0,Inf,0.999438719381112,"Dx Status: Case"
"2","Country: USA",243298546265270560,0,Inf,0.999545160852926,"Country: USA"
"3","Sex:Male",1.26429751233095,0.0580308404060582,27.5448052880406,0.881417686215545,"Sex:Male"
"4","Delivery Mode: Vaginal",0.940496672207089,0,Inf,0.999999390743576,"Delivery Mode: Vaginal"
"5","HLADQ2.2 and DQ8",3.40598061152481e-05,0,Inf,0.999997692965994,"HLADQ2.2 and DQ8"
"6","HLADQ2.2 Heterozygous",9.95017007990132e-22,0,Inf,0.999996186154909,"HLADQ2.2 Heterozygous"
"7","HLADQ2.2 Homozygous",1.319082786919e-13,0,Inf,0.999990211763168,"HLADQ2.2 Homozygous"
"8","HLADQ2.2/2.5 Homozygous",3.25279962767948e-24,0,Inf,0.999995498943647,"HLADQ2.2/2.5 Homozygous"
"9","HLADQ2.3 Heterozygous",5.67985270425116e-14,0,Inf,0.999995508143069,"HLADQ2.3 Heterozygous"
"10","HLADQ2.5 and DQ7",3.36135400955741e-20,0,Inf,0.999997080039163,"HLADQ2.5 and DQ7"
"11","HLADQ2.5 and DQ8",1.9520433881625e-13,0,Inf,0.999993229151302,"HLADQ2.5 and DQ8"
"12","HLADQ2.5 Heterozygous",113383862.824449,0,Inf,0.999462767882316,"HLADQ2.5 Heterozygous"
"13","HLADQ2.5 Homozygous",1.15284449835399e-18,0,Inf,0.999997644849434,"HLADQ2.5 Homozygous"
"14","HLADQ8",9.74295209909066e-14,0,Inf,0.999989302850136,"HLADQ8"
"15","HLADQ8 and DQ7",189324092948.068,0,Inf,0.999999472458614,"HLADQ8 and DQ7"
"16","HLANegative",2.57132735047013e-05,0,Inf,0.999997599645629,"HLANegative"
