virus_comp_2195_cycle_1	2202644	species	Microviridae sp.	19	15	10	0.630	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_2196_cycle_1	2202644	species	Microviridae sp.	10	9	9	1.000	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_2197_cycle_1	2731619	class	Caudoviricetes	27	17	12	0.680	10239;2731341;2731360;2731618;2731619
virus_comp_2198_cycle_1	2832643	species	Caudoviricetes sp.	7	7	6	0.980	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_2200_cycle_1	117574	no rank	unclassified Microviridae	19	14	11	0.780	10239;2731342;2732091;2732412;2732413;2732414;10841;117574
virus_comp_2201_cycle_1	2202644	species	Microviridae sp.	20	14	14	1.000	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_2202_cycle_1	1	no rank	root	12	10	10	1.000	1
virus_comp_2204_cycle_1	2202644	species	Microviridae sp.	23	10	7	0.710	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_2205_cycle_1	1	no rank	root	14	8	8	1.000	1
virus_comp_2207_cycle_1	2202644	species	Microviridae sp.	12	8	8	1.000	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_2237_cycle_1	2202644	species	Microviridae sp.	15	10	9	0.840	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_2239_cycle_1	2202644	species	Microviridae sp.	25	17	13	0.590	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_2242_cycle_1	2832643	species	Caudoviricetes sp.	19	12	11	0.860	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_2244_cycle_1	129951	species	Human mastadenovirus C	16	12	6	0.540	10239;2732004;2732005;2732008;2732529;2732559;10508;10509;129951
virus_comp_2245_cycle_1	2202644	species	Microviridae sp.	16	10	8	0.800	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_2246_cycle_1	2832643	species	Caudoviricetes sp.	27	18	10	0.510	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_2247_cycle_1	2202644	species	Microviridae sp.	19	11	9	0.830	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_2248_cycle_1	1623305	genus	Skunavirus	33	17	9	0.500	10239;2731341;2731360;2731618;2731619;1623305
virus_comp_2251_cycle_1	2202644	species	Microviridae sp.	19	10	8	0.830	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_2253_cycle_1	1	no rank	root	18	12	12	1.000	1
virus_comp_5182_cycle_1	1	no rank	root	9	8	8	1.000	1
virus_comp_5183_cycle_1	10239	superkingdom	Viruses	4	4	4	1.000	10239
virus_comp_5187_cycle_1	2202644	species	Microviridae sp.	1	1	1	1.000	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_5198_cycle_1	1	no rank	root	5	4	4	1.000	1
virus_comp_5199_cycle_1	1	no rank	root	5	4	4	1.000	1
virus_comp_5200_cycle_1	117574	no rank	unclassified Microviridae	11	6	5	0.760	10239;2731342;2732091;2732412;2732413;2732414;10841;117574
virus_comp_5202_cycle_1	1	no rank	root	2	2	2	1.000	1
virus_comp_5203_cycle_1	1	no rank	root	4	3	3	1.000	1
virus_comp_5208_cycle_1	2832643	species	Caudoviricetes sp.	6	4	3	0.670	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_5212_cycle_1	2202644	species	Microviridae sp.	3	3	2	0.510	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_5261_cycle_1	1	no rank	root	5	5	5	1.000	1
virus_comp_5292_cycle_1	38018	species	Bacteriophage sp.	11	8	7	0.960	10239;12333;38018
virus_comp_5295_cycle_1	1	no rank	root	7	5	5	1.000	1
virus_comp_5297_cycle_1	2202644	species	Microviridae sp.	2	2	2	1.000	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_5298_cycle_1	1	no rank	root	4	3	3	1.000	1
virus_comp_5304_cycle_1	1	no rank	root	6	5	5	1.000	1
virus_comp_5308_cycle_1	1	no rank	root	5	5	5	1.000	1
virus_comp_5315_cycle_1	10239	superkingdom	Viruses	6	4	4	1.000	10239
virus_comp_5320_cycle_1	2788787	no rank	unclassified Caudoviricetes	4	4	4	1.000	10239;2731341;2731360;2731618;2731619;2788787
virus_comp_5321_cycle_1	1	no rank	root	6	6	6	1.000	1
virus_comp_5326_cycle_1	1	no rank	root	4	3	3	1.000	1
virus_comp_5339_cycle_1	1	no rank	root	10	6	6	1.000	1
virus_comp_5352_cycle_1	1	no rank	root	10	5	5	1.000	1
virus_comp_5357_cycle_1	38018	species	Bacteriophage sp.	7	4	3	0.750	10239;12333;38018
virus_comp_5366_cycle_1	2788787	no rank	unclassified Caudoviricetes	8	6	3	0.500	10239;2731341;2731360;2731618;2731619;2788787
virus_comp_5367_cycle_1	2832643	species	Caudoviricetes sp.	3	2	2	1.000	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_5368_cycle_1	2832643	species	Caudoviricetes sp.	15	6	3	0.500	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_5371_cycle_1	2832643	species	Caudoviricetes sp.	6	5	4	0.980	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_5375_cycle_1	2202644	species	Microviridae sp.	4	3	3	1.000	10239;2731342;2732091;2732412;2732413;2732414;10841;117574;2202644
virus_comp_5379_cycle_1	1	no rank	root	2	1	1	1.000	1
virus_comp_5489_cycle_1	2832643	species	Caudoviricetes sp.	2	2	1	0.500	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_5494_cycle_1	1	no rank	root	1	1	1	1.000	1
virus_comp_5496_cycle_1	1	no rank	root	9	5	5	1.000	1
virus_comp_5502_cycle_1	2832643	species	Caudoviricetes sp.	4	3	2	0.510	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_5503_cycle_1	2788787	no rank	unclassified Caudoviricetes	7	6	4	0.670	10239;2731341;2731360;2731618;2731619;2788787
virus_comp_5504_cycle_1	38018	species	Bacteriophage sp.	5	4	2	0.650	10239;12333;38018
virus_comp_5507_cycle_1	1	no rank	root	8	4	4	1.000	1
virus_comp_5510_cycle_1	1	no rank	root	4	3	3	1.000	1
virus_comp_5511_cycle_1	2832643	species	Caudoviricetes sp.	4	2	1	0.500	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_5513_cycle_1	2832643	species	Caudoviricetes sp.	12	7	4	0.510	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_5574_cycle_1	2832643	species	Caudoviricetes sp.	3	3	3	1.000	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_5578_cycle_1	10239	superkingdom	Viruses	4	4	2	0.650	10239
virus_comp_5579_cycle_1	1	no rank	root	1	1	1	1.000	1
virus_comp_5582_cycle_1	2832643	species	Caudoviricetes sp.	11	7	4	0.730	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_5583_cycle_1	1	no rank	root	4	3	3	1.000	1
virus_comp_5586_cycle_1	278008	species	uncultured phage	2	2	1	0.500	10239;12333;156614;278008
virus_comp_5587_cycle_1	2788787	no rank	unclassified Caudoviricetes	6	5	3	0.600	10239;2731341;2731360;2731618;2731619;2788787
virus_comp_6617_cycle_1	2832643	species	Caudoviricetes sp.	2	1	1	1.000	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_6620_cycle_1	1	no rank	root	5	4	4	1.000	1
virus_comp_6623_cycle_1	2832643	species	Caudoviricetes sp.	10	8	6	0.530	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11238_cycle_1	38018	species	Bacteriophage sp.	1	1	1	1.000	10239;12333;38018
virus_comp_11239_cycle_1	2832643	species	Caudoviricetes sp.	4	3	2	0.670	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11256_cycle_1	1	no rank	root	4	2	2	1.000	1
virus_comp_11257_cycle_1	2827597	species	Siphoviridae sp. ctwNf2	2	2	2	1.000	10239;2731341;2731360;2731618;2731619;2788787;2827597
virus_comp_11262_cycle_1	1	no rank	root	3	1	1	1.000	1
virus_comp_11280_cycle_1	2832643	species	Caudoviricetes sp.	6	2	2	1.000	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11281_cycle_1	2832643	species	Caudoviricetes sp.	4	2	1	0.950	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11282_cycle_1	1	no rank	root	1	1	1	1.000	1
virus_comp_11283_cycle_1	1	no rank	root	2	2	2	1.000	1
virus_comp_11291_cycle_1	2832643	species	Caudoviricetes sp.	3	3	2	0.670	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11304_cycle_1	1	no rank	root	2	2	2	1.000	1
virus_comp_11305_cycle_1	1623305	genus	Skunavirus	7	4	2	0.510	10239;2731341;2731360;2731618;2731619;1623305
virus_comp_11315_cycle_1	2832643	species	Caudoviricetes sp.	7	6	6	1.000	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11318_cycle_1	1	no rank	root	2	2	2	1.000	1
virus_comp_11325_cycle_1	2832643	species	Caudoviricetes sp.	2	2	1	0.500	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11328_cycle_1	1	no rank	root	4	3	3	1.000	1
virus_comp_11329_cycle_1	1	no rank	root	3	3	3	1.000	1
virus_comp_11333_cycle_1	1	no rank	root	2	2	2	1.000	1
virus_comp_11341_cycle_1	10239	superkingdom	Viruses	1	1	1	1.000	10239
virus_comp_11353_cycle_1	0	no rank	unclassified	1	0	0	0.000	
virus_comp_11357_cycle_1	2832643	species	Caudoviricetes sp.	4	4	2	0.500	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11358_cycle_1	1	no rank	root	2	1	1	1.000	1
virus_comp_11362_cycle_1	2788787	no rank	unclassified Caudoviricetes	3	2	2	1.000	10239;2731341;2731360;2731618;2731619;2788787
virus_comp_11365_cycle_1	10239	superkingdom	Viruses	2	2	2	1.000	10239
virus_comp_11372_cycle_1	1	no rank	root	2	2	2	1.000	1
virus_comp_11385_cycle_1	2832643	species	Caudoviricetes sp.	2	2	2	1.000	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11387_cycle_1	1	no rank	root	3	2	2	1.000	1
virus_comp_11395_cycle_1	2832643	species	Caudoviricetes sp.	7	4	3	0.530	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11400_cycle_1	1	no rank	root	3	3	3	1.000	1
virus_comp_11409_cycle_1	1	no rank	root	6	4	4	1.000	1
virus_comp_11415_cycle_1	38018	species	Bacteriophage sp.	1	1	1	1.000	10239;12333;38018
virus_comp_11418_cycle_1	2832643	species	Caudoviricetes sp.	3	2	2	1.000	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11434_cycle_1	2832643	species	Caudoviricetes sp.	4	4	3	0.750	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11443_cycle_1	2731619	class	Caudoviricetes	4	3	3	1.000	10239;2731341;2731360;2731618;2731619
virus_comp_11447_cycle_1	2832643	species	Caudoviricetes sp.	3	2	2	1.000	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11450_cycle_1	10239	superkingdom	Viruses	3	3	2	0.670	10239
virus_comp_11451_cycle_1	2832643	species	Caudoviricetes sp.	12	7	3	0.820	10239;2731341;2731360;2731618;2731619;2788787;2832643
virus_comp_11453_cycle_1	2832643	species	Caudoviricetes sp.	1	1	1	1.000	10239;2731341;2731360;2731618;2731619;2788787;2832643
