"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",1.08720473426698e-13,0,Inf,0.999996087742783,"Dx Status: Case"
"2","Country: USA",168419285.09412,0,Inf,0.99999797695403,"Country: USA"
"3","Sex:Male",1.94521109054887e-15,0,Inf,0.999996880646169,"Sex:Male"
"4","Delivery Mode: Vaginal",12.6098646069109,0,Inf,0.999999729310255,"Delivery Mode: Vaginal"
"5","HLADQ2.2 and DQ8",0.000339016792454266,0,Inf,0.999997887953159,"HLADQ2.2 and DQ8"
"6","HLADQ2.2 Heterozygous",7.91866670636453e-06,0,Inf,0.999999013686287,"HLADQ2.2 Heterozygous"
"7","HLADQ2.2 Homozygous",802752.995212363,0,Inf,0.999997870031595,"HLADQ2.2 Homozygous"
"8","HLADQ2.2/2.5 Homozygous",2.81026859647578e-05,0,Inf,0.999998750597332,"HLADQ2.2/2.5 Homozygous"
"9","HLADQ2.3 Heterozygous",144724.262158651,0,Inf,0.999999636539325,"HLADQ2.3 Heterozygous"
"10","HLADQ2.5 and DQ7",23371.9652627384,0,Inf,0.999998976025068,"HLADQ2.5 and DQ7"
"11","HLADQ2.5 and DQ8",1270917054.18066,0,Inf,0.999997952379107,"HLADQ2.5 and DQ8"
"12","HLADQ2.5 Heterozygous",1205110677.67594,0,Inf,0.999773441082152,"HLADQ2.5 Heterozygous"
"13","HLADQ2.5 Homozygous",8.56912835030115e-06,0,Inf,0.99999928415997,"HLADQ2.5 Homozygous"
"14","HLADQ8",0.000367311748825002,0,Inf,0.999999323716371,"HLADQ8"
"15","HLADQ8 and DQ7",2505985533970836480,0,Inf,0.999998454067645,"HLADQ8 and DQ7"
"16","HLANegative",1.05951724089927e-08,0,Inf,0.999999378761236,"HLANegative"
