"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",0.232801035241881,0.0392516071637224,1.3807414759766,0.108545847412196,"Dx Status: Case"
"2","Country: USA",0.541664132541514,0.0987261891593765,2.97185615063402,0.480242583545392,"Country: USA"
"3","Sex:Male",0.895611671214855,0.14466842370632,5.54454279010177,0.905649803921105,"Sex:Male"
"4","Delivery Mode: Vaginal",1.36475919570092,0.232913383358871,7.99682540947155,0.730297333973797,"Delivery Mode: Vaginal"
"5","HLADQ2.2 and DQ8",4.65901614825607e-17,0,Inf,0.999998658691536,"HLADQ2.2 and DQ8"
"6","HLADQ2.2 Heterozygous",2.74547380474687,0.25875398899974,29.1304742457857,0.401969288945265,"HLADQ2.2 Heterozygous"
"7","HLADQ2.2 Homozygous",4.62355137393168,0.218794072684544,97.7047826071918,0.325268686940981,"HLADQ2.2 Homozygous"
"8","HLADQ2.2/2.5 Homozygous",3.52910902836115e-22,0,Inf,0.999995888990582,"HLADQ2.2/2.5 Homozygous"
"9","HLADQ2.3 Heterozygous",8.89698369513845e-20,0,Inf,0.999998620133329,"HLADQ2.3 Heterozygous"
"10","HLADQ2.5 and DQ7",1.5360176304767,0.088737891198197,26.5878547402668,0.767972197635646,"HLADQ2.5 and DQ7"
"11","HLADQ2.5 and DQ8",2.71391419820316e-18,0,Inf,0.999998727646623,"HLADQ2.5 and DQ8"
"12","HLADQ2.5 Heterozygous",1.59926630388605,0.129334682736702,19.7754589613999,0.714412844925423,"HLADQ2.5 Heterozygous"
"13","HLADQ2.5 Homozygous",4.79781440648678,0.344623236435703,66.7947504560877,0.243166580556441,"HLADQ2.5 Homozygous"
"14","HLADQ8",1.43685981481903e-10,0,Inf,0.999850735763079,"HLADQ8"
"15","HLADQ8 and DQ7",1.09166504087984e-09,0,Inf,0.999834504625697,"HLADQ8 and DQ7"
"16","HLANegative",6.09561843477614,0.176862489688715,210.087306628895,0.316925202146619,"HLANegative"
