"ORF","Variance","Range","Mean_Abs_Value","Pattern_Correlation","N_Timepoints","Variance_Percentile","Correlation_Percentile"
"virus_comp_491_cycle_1_3",5.12018275418017,5.85069906436254,2.01616598484097,0.991248110977582,8,70.2,3.3
"virus_comp_3629_cycle_1_1",3.69703624710731,5.16666489907738,1.84750561018353,0.997033084552145,8,25.1,0.1
"virus_comp_155_cycle_2_104",5.09174042591007,5.59741143264227,2.40728329163744,0.993314587992011,8,69.6,1.6
"virus_comp_155_cycle_2_118",5.03301626218328,5.61617918129115,2.42356682642857,0.992045835346699,8,67.9,2.2
"virus_comp_2473_cycle_1_6",7.10871694145823,6.73164251083699,2.41690130316297,0.995354411407275,8,91.7,0.4
"virus_comp_155_cycle_2_145",4.9267731150724,5.32713016026405,2.41094760283472,0.991622195810617,8,65.9,2.7
"virus_comp_163_cycle_1_27",5.00100895078555,5.62304067123608,2.41385632219997,0.991696286182236,8,67.4,2.5
"virus_comp_155_cycle_2_103",5.13891088951991,5.58177526213978,2.44694992462089,0.991933252910144,8,70.6,2.3
"virus_comp_155_cycle_2_73",4.91016367700993,5.49437974460487,2.38851971194102,0.994471319277394,8,65.2,0.8
"virus_comp_155_cycle_2_90",4.91995990302785,5.48897215671643,2.3893951405353,0.99383941192603,8,65.6,1.3
"virus_comp_155_cycle_2_74",4.97147383818343,5.34271802018426,2.38913538068782,0.989833842976563,8,66.8,4.9
"virus_comp_155_cycle_2_43",5.16240462748827,5.5883370632412,2.50343955039406,0.990122161351022,8,71.3,4.7
"virus_comp_155_cycle_1_210",4.68699841420852,5.30586698702531,2.32887538800209,0.995769062903915,8,59.6,0.3
"virus_comp_18055_cycle_1_12",4.16489858295945,5.45447027193738,1.93729808255338,0.994709770321988,8,35.7,0.7
"virus_comp_155_cycle_2_156",4.87465829910623,5.41215738617352,2.38049219979898,0.992832153644113,8,63.8,1.9
"virus_comp_155_cycle_2_150",5.0597670807824,5.4965896835374,2.47687789129445,0.99047561271396,8,69,4.3
"virus_comp_2838_cycle_1_5",3.93709193510102,5.29003171763896,1.91753197317938,0.994226015660217,8,30.9,1
"virus_comp_5397_cycle_1_5",4.29487633925536,5.30999092441304,2.05296914535916,0.99321942582735,8,40.1,1.7
"virus_comp_155_cycle_2_128",4.83425379971155,5.33897905999822,2.38788932682497,0.993554149012533,8,62.9,1.4
"virus_comp_245_cycle_1_43",6.35603494739879,6.82519264786736,2.16640811641667,0.991255368380988,8,86.6,3.2
"virus_comp_3522_cycle_1_1",4.31384946335532,5.42644372508479,2.16672571784036,0.994202754847937,8,40.7,1.1
"virus_comp_10609_cycle_1_2",2.89423117935724,4.70963177258199,1.76991911313919,0.990941269680397,8,7.2,3.8
"edge_284_14",6.39846780007235,6.4301774013633,2.21664288081536,0.994110831587984,8,87.1,1.2
"virus_comp_155_cycle_2_46",5.27788983175032,5.95777139928331,2.55632852052634,0.99089108430197,8,73.3,3.9
"edge_48732_29",4.18462397160464,5.28262808649873,2.25069881934341,0.993552277266876,8,36.6,1.5
"virus_comp_155_cycle_2_122",4.78418567606345,5.46513614365993,2.38198607068962,0.99048150066535,8,61.9,4.2
"virus_comp_18289_cycle_1_2",4.2470972720136,5.66760811015994,1.95323068580483,0.994354929429923,8,39,0.9
"edge_1631_2",3.68652389878512,5.22534898463891,1.99955402028397,0.990989245561228,8,24.7,3.6
"virus_comp_155_cycle_2_149",4.57715671643228,5.26668265292213,2.34649214816317,0.993066148650686,8,55.1,1.8
"virus_comp_155_cycle_2_108",4.90143854196724,5.68154962339051,2.4682360828954,0.992429879801772,8,64.8,2
"virus_comp_17831_cycle_1_10",5.32642407065805,6.11459975204669,2.07126054952985,0.996148924857321,8,74.3,0.2
"virus_comp_998_cycle_1_1",4.1703395825357,5.00573715881512,2.03011834008535,0.995240362381105,8,35.9,0.6
"virus_comp_3236_cycle_1_11",5.18536751747198,5.87686843635313,2.15682899774825,0.991445592480745,8,71.9,3.1
"virus_comp_1098_cycle_1_9",4.7359175542892,5.78053270315744,2.03715143459535,0.991556592481769,8,61,2.9
"virus_comp_9673_cycle_1_1",3.8677847577262,5.38070691339121,1.91192130314116,0.992377828916167,8,28.8,2.1
"virus_comp_2506_cycle_1_5",5.67002093700622,6.57516089714439,2.13871933274936,0.990494985037808,8,80.1,4.1
"virus_comp_442_cycle_1_16",4.5324106398977,5.70620040161874,2.20014313078408,0.991226302586835,8,53.2,3.4
"virus_comp_551_cycle_1_18",4.85661570474794,5.86589344500519,2.05950475304368,0.989978501378564,8,63.4,4.8
"virus_comp_1390_cycle_1_14",4.15779975188239,5.5696867570078,2.09597771396143,0.991663548335465,8,35.5,2.6
"virus_comp_1390_cycle_1_7",4.49957517789247,5.67616812431233,2.20760414796638,0.990601117285192,8,51.2,4
"virus_comp_442_cycle_1_43",4.38364121625365,5.63256664438093,2.16454108203118,0.990966638404556,8,44.6,3.7
"virus_comp_442_cycle_1_30",4.10783449233036,5.50462966620418,2.06347269744118,0.991565233788797,8,34.7,2.8
"virus_comp_1115_cycle_1_9",4.18348467384493,5.51940921408183,2.08798600381076,0.991924885849964,8,36.3,2.4
"virus_comp_442_cycle_1_49",4.35928198933414,5.64402620071694,2.14600757143484,0.99036401323043,8,43.3,4.5
"virus_comp_289_cycle_1_3",4.51817640224289,5.71939981371161,2.04938318265048,0.989743276208247,8,52.5,5
"virus_comp_2163_cycle_1_11",4.58202639567965,5.97446510795123,1.97485055455123,0.991531752020837,8,55.4,3
"virus_comp_442_cycle_1_19",4.05333337113992,5.47851383110044,2.06292836895998,0.990199214886376,8,33.4,4.6
"virus_comp_442_cycle_1_31",4.45496505971146,5.61710153622584,2.20132492951691,0.991011425958389,8,48.9,3.5
"virus_comp_551_cycle_1_22",5.15927652742974,5.97964515005396,2.1132603290061,0.990464725311845,8,71.2,4.4
"virus_comp_245_cycle_1_90",6.18538597181895,6.62430439989756,2.14752564213485,0.995257840002546,8,85.7,0.5
