"effect","component","term","estimate","std.error","statistic","p.value","gene"
"fixed","cond","(Intercept)",2.51939304675941,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC",-1.0357136002989,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-6",1.25552621721402,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-12",-29.3918037260802,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-18",-18.9777890038812,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-24",1.53631218596545,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-30",2.34335793615491,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-36",2.0634039343773,NA,NA,NA,"edge_187"
"fixed","cond","SexMale",-0.97123919614308,NA,NA,NA,"edge_187"
"fixed","cond","Age.at.Gluten.Introduction..months.",-0.781146240757367,NA,NA,NA,"edge_187"
"fixed","cond","HLA.CategoryHigh Risk",2.43688898465451,NA,NA,NA,"edge_187"
"fixed","cond","HLA.CategoryLow/No Risk",-20.9566367236094,NA,NA,NA,"edge_187"
"fixed","cond","feeding_first_yearFormula",-0.527005289886224,NA,NA,NA,"edge_187"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",-2.20140958935196,NA,NA,NA,"edge_187"
"fixed","cond","Delivery.ModeC-Section",-0.159480032910344,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-39.260675062957,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",31.5403082180348,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-2.28730431117951,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-26.9586184428663,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-34.8188008184379,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-30.0901163837108,NA,NA,NA,"edge_187"
"fixed","cond","(Intercept)",-218.555745938821,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC",176.296401667268,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-6",216.774443822837,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-12",-36.0946790373155,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-18",-33.4428837521299,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-24",188.82640428312,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-30",-60.5124041785038,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-36",-38.116717114116,NA,NA,NA,"edge_1980"
"fixed","cond","SexMale",12.4709962677682,NA,NA,NA,"edge_1980"
"fixed","cond","Age.at.Gluten.Introduction..months.",4.90214725664933,NA,NA,NA,"edge_1980"
"fixed","cond","HLA.CategoryHigh Risk",-373.314123555509,NA,NA,NA,"edge_1980"
"fixed","cond","HLA.CategoryLow/No Risk",-74.2139607941834,NA,NA,NA,"edge_1980"
"fixed","cond","feeding_first_yearFormula",-168.856844891238,NA,NA,NA,"edge_1980"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",120.320716343134,NA,NA,NA,"edge_1980"
"fixed","cond","Delivery.ModeC-Section",-125.321683268166,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-146.923702826702,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",-1.12559479078132,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-8.79710400383534,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-5.33903044112,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-22.8551733861035,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",0.978447596652336,NA,NA,NA,"edge_1980"
"fixed","cond","(Intercept)",-208.425469816155,NA,NA,NA,"edge_1986"
"fixed","cond","Dx.StatusCELIAC",138.103389428067,NA,NA,NA,"edge_1986"
"fixed","cond","onset_timeline_combinedt0-6",183.186742311901,NA,NA,NA,"edge_1986"
"fixed","cond","onset_timeline_combinedt0-12",-2.04640014578825,NA,NA,NA,"edge_1986"
"fixed","cond","onset_timeline_combinedt0-18",-3.56862489022987,NA,NA,NA,"edge_1986"
"fixed","cond","onset_timeline_combinedt0-24",161.497645811852,NA,NA,NA,"edge_1986"
"fixed","cond","onset_timeline_combinedt0-30",-58.1897669710646,NA,NA,NA,"edge_1986"
"fixed","cond","onset_timeline_combinedt0-36",-28.9813371767403,NA,NA,NA,"edge_1986"
"fixed","cond","SexMale",23.3946605143946,NA,NA,NA,"edge_1986"
"fixed","cond","Age.at.Gluten.Introduction..months.",7.76016914054818,NA,NA,NA,"edge_1986"
"fixed","cond","HLA.CategoryHigh Risk",-324.383038980651,NA,NA,NA,"edge_1986"
"fixed","cond","HLA.CategoryLow/No Risk",-111.143139078993,NA,NA,NA,"edge_1986"
"fixed","cond","feeding_first_yearFormula",-134.224020693709,NA,NA,NA,"edge_1986"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",73.3252142299461,NA,NA,NA,"edge_1986"
"fixed","cond","Delivery.ModeC-Section",-81.0856256445233,NA,NA,NA,"edge_1986"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-364.866210550025,NA,NA,NA,"edge_1986"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",-2.25202518583135,NA,NA,NA,"edge_1986"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-15.0215443670524,NA,NA,NA,"edge_1986"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-31.681108069349,NA,NA,NA,"edge_1986"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-30.5874051423712,NA,NA,NA,"edge_1986"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",1.5429305786942,NA,NA,NA,"edge_1986"
"fixed","cond","(Intercept)",-204.596182875434,NA,NA,NA,"edge_2104"
"fixed","cond","Dx.StatusCELIAC",-99.8864899921342,NA,NA,NA,"edge_2104"
"fixed","cond","onset_timeline_combinedt0-6",-55.4348463066315,NA,NA,NA,"edge_2104"
"fixed","cond","onset_timeline_combinedt0-12",0.667243346735443,NA,NA,NA,"edge_2104"
"fixed","cond","onset_timeline_combinedt0-18",1.91716403703809,NA,NA,NA,"edge_2104"
"fixed","cond","onset_timeline_combinedt0-24",-32.8674848635565,NA,NA,NA,"edge_2104"
"fixed","cond","onset_timeline_combinedt0-30",-26.6227122129447,NA,NA,NA,"edge_2104"
"fixed","cond","onset_timeline_combinedt0-36",-32.4930713334887,NA,NA,NA,"edge_2104"
"fixed","cond","SexMale",-53.205847624679,NA,NA,NA,"edge_2104"
"fixed","cond","Age.at.Gluten.Introduction..months.",18.4079840906522,NA,NA,NA,"edge_2104"
"fixed","cond","HLA.CategoryHigh Risk",-81.9981297087,NA,NA,NA,"edge_2104"
"fixed","cond","HLA.CategoryLow/No Risk",-19.0551048680175,NA,NA,NA,"edge_2104"
"fixed","cond","feeding_first_yearFormula",73.2297150266491,NA,NA,NA,"edge_2104"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",71.3563680314814,NA,NA,NA,"edge_2104"
"fixed","cond","Delivery.ModeC-Section",1.27434049339468,NA,NA,NA,"edge_2104"
