"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;unclassified Papillomaviridae genus;unclassified Papillomaviridae species",6.74451963226804,-3.79064063468607,0.779151830313862,-4.86508596554166,1.14407069822571e-06,4.34746865325771e-05
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",1.77108623632583,1.89971213239799,0.577286380487549,3.29076208379208,0.000999163792170972,0.0224010201790512
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus PgBoV-1",1.68273371439298,1.8389694543971,0.571525418039121,3.21765121262064,0.00129244879852551,0.0245565271719848
"Viruses;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Lymphocryptovirus;Human gammaherpesvirus 4",8.17439172206707,-2.62376216828676,0.84647931624585,-3.09961757828081,0.00193770651313803,0.0283203259612481
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;unclassified Picobirnaviridae genus;Lysoka partiti-like virus",11.9752896302412,6.27773213106827,0.818538890042386,7.66943661130529,1.72753450278291e-14,1.64115777764376e-12
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Adenovirus Lopburi070_2006_THA",4.3735911987058,4.73811284022188,0.684706321685939,6.91991981110283,4.51899371646722e-12,2.86202935376257e-10
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Simian mastadenovirus D",3.63348873656579,2.29336770346077,0.700520720901977,3.27380423595161,0.0010611009558498,0.0224010201790512
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;unclassified Adenoviridae genus;Pan troglodytes adenovirus",1.82467649220083,2.48413101984417,0.614837558491926,4.04030460653258,5.33818234569498e-05,0.00144893520811721
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Alphatorquevirus;unclassified Alphatorquevirus species",4.38165733614055,-5.52335204873282,0.660844383153987,-8.35802223569144,6.37784272577676e-17,1.21179011789758e-14
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 9",1.31812252980145,1.57343220037625,0.49904598869853,3.15288016737622,0.00161668157867631,0.0255974583290415
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus SHA",3.22204952062773,3.17335937862824,0.657621875195871,4.82550763336919,1.39647115880959e-06,4.42215866956371e-05
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 13",1.85216642704943,-2.90350634635367,0.590291598807947,-4.91876616949505,8.70914315746023e-07,4.13684299979361e-05
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;Human anellovirus zj-ad 1",4.21910429626507,2.21981706863676,0.699564876920072,3.1731396784953,0.00150799955582726,0.0255974583290415
