"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Deltapolyomavirus;Human polyomavirus 10",3.80960117523034,-1.45642285194987,0.354262374558374,-4.11114178796283,3.93707323719306e-05,0.0020964914988053
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Protoparvovirus;Ungulate protoparvovirus 1",3.65090345141707,0.962285197494359,0.323313481108174,2.97632252820413,0.00291727876192336,0.0477984904838212
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus;Picobirnavirus sp.",7.86436193318244,-1.61118585877651,0.398218571628348,-4.04598372242721,5.21038536235257e-05,0.0022196241643622
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;unclassified Picobirnaviridae genus;Lysoka partiti-like virus",11.9752896302412,3.19779200273732,0.407153636220915,7.85401803706907,4.02916304164074e-15,8.58211727869478e-13
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Enterovirus;Enterovirus sp.",3.24131392329462,-1.28013562032074,0.350208343941598,-3.65535442677578,0.00025682691127994,0.00683801651282839
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Enterovirus;Rhinovirus C",1.45464610123918,-0.959086252107681,0.289247869441515,-3.31579366153847,0.000913832736994857,0.0216273747755449
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Kobuvirus;unclassified Kobuvirus species",1.55637415767508,0.808091602952633,0.265287058688238,3.046102614083,0.00231828701384948,0.0417647879291658
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Burkina Faso astrovirus",1.41647567114182,1.30896899035349,0.250557646990925,5.22422287275429,1.74888033319339e-07,1.24170503656731e-05
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Astrovirus MLB3",4.45408982998049,-1.3619221790777,0.35829354382573,-3.80113513778557,0.000144034715466906,0.00438277062777871
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Rhesus adenovirus 65",2.54709989854833,-0.990417210677945,0.325619672240159,-3.04163812912221,0.00235294579882624,0.0417647879291658
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Simian mastadenovirus D",3.63348873656579,-1.34932475164426,0.339936586173463,-3.96934253777476,7.20712146790467e-05,0.00255852812110616
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 7",11.0401587655027,-2.58359742665947,0.419476719313995,-6.15909610164932,7.31613214483404e-10,7.79168073424825e-08
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gyrovirus;Avian gyrovirus 2",2.83910073953476,1.03347960706058,0.3217837536749,3.21172090031839,0.00131942489774354,0.0281037503219374
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;Human anellovirus zj-ad 1",4.21910429626507,1.0570612126202,0.359375214172769,2.94138596912812,0.00326747120521451,0.049712240479335
