protein_id	genome	start	end	strand	partial	yutin	cluster
sample-1_241_22966|218|1	sample-1_241_22966	2	655	-	True	gene73	cl_41
sample-1_241_22966|218|2	sample-1_241_22966	657	1310	-	False	gene74	cl_704
sample-1_241_22966|385|3	sample-1_241_22966	1323	2477	-	False	gene75	cl_39
sample-1_241_22966|492|4	sample-1_241_22966	2504	3979	-	False	MCP	cl_3
sample-1_241_22966|437|5	sample-1_241_22966	3996	5306	-	False	gene77	cl_43
sample-1_241_22966|811|6	sample-1_241_22966	5678	8110	-	False	portal	cl_4
sample-1_241_22966|89|7	sample-1_241_22966	8107	8373	-	False		cl_306
sample-1_241_22966|766|8	sample-1_241_22966	8376	10673	-	False	TerL	cl_6
sample-1_241_22966|122|9	sample-1_241_22966	10687	11052	-	False		cl_820
sample-1_241_22966|112|10	sample-1_241_22966	11033	11368	-	False		cl_798
sample-1_241_22966|81|11	sample-1_241_22966	11365	11607	-	False		cl_82
sample-1_241_22966|133|12	sample-1_241_22966	11582	11980	-	False		cl_82
sample-1_241_22966|333|13	sample-1_241_22966	11996	12994	-	False	PDDEXK_alpha	cl_336
sample-1_241_22966|240|14	sample-1_241_22966	12991	13710	-	False	gene86	cl_40
sample-1_241_22966|182|15	sample-1_241_22966	13667	14212	-	False		cl_1297
sample-1_241_22966|114|16	sample-1_241_22966	14268	14609	-	False		cl_725
sample-1_241_22966|232|17	sample-1_241_22966	16178	16873	+	False		cl_751
sample-1_241_22966|60|18	sample-1_241_22966	17142	17321	+	False		cl_1649
sample-1_241_22966|298|19	sample-1_241_22966	19093	19986	+	False		cl_1643
sample-1_241_22966|50|20	sample-1_241_22966	20296	20445	+	False		cl_1401
sample-1_241_22966|43|21	sample-1_241_22966	20426	20554	+	False		
sample-1_241_22966|180|22	sample-1_241_22966	20824	21363	+	False		cl_1344
sample-1_241_22966|115|23	sample-1_241_22966	21798	22142	+	False		cl_1386
sample-1_241_22966|47|24	sample-1_241_22966	22162	22302	+	False		cl_756
sample-1_241_22966|104|25	sample-1_241_22966	22286	22597	+	False		cl_742
sample-1_241_22966|33|26	sample-1_241_22966	22599	22697	+	False		cl_775
sample-1_241_22966|33|27	sample-1_241_22966	22867	22965	+	True		cl_1294
