protein_id	genome	start	end	strand	partial	yutin	cluster
sample-1_10_102032|187|1	sample-1_10_102032	3	563	-	True		cl_599
sample-1_10_102032|360|2	sample-1_10_102032	662	1741	-	False	BACON	cl_38
sample-1_10_102032|207|3	sample-1_10_102032	1741	2361	-	False		cl_1357
sample-1_10_102032|295|4	sample-1_10_102032	2367	3251	-	False		cl_494
sample-1_10_102032|148|5	sample-1_10_102032	3255	3698	-	False	Pept_M15	cl_108
sample-1_10_102032|64|6	sample-1_10_102032	3676	3867	-	False		cl_202
sample-1_10_102032|746|7	sample-1_10_102032	3867	6104	-	False	BACON	cl_216
sample-1_10_102032|1188|8	sample-1_10_102032	6097	9660	-	False		cl_115
sample-1_10_102032|135|9	sample-1_10_102032	9644	10048	-	False		cl_1272
sample-1_10_102032|119|10	sample-1_10_102032	10759	11115	-	False		cl_22
sample-1_10_102032|219|11	sample-1_10_102032	11210	11866	-	False		cl_22
sample-1_10_102032|115|12	sample-1_10_102032	11841	12185	-	False		cl_22
sample-1_10_102032|85|13	sample-1_10_102032	12339	12593	-	False		cl_22
sample-1_10_102032|273|14	sample-1_10_102032	12641	13459	-	False		cl_22
sample-1_10_102032|233|15	sample-1_10_102032	13471	14169	-	False		cl_570
sample-1_10_102032|302|16	sample-1_10_102032	14270	15175	-	False	gene73	cl_692
sample-1_10_102032|223|17	sample-1_10_102032	15345	16013	-	False	gene74	cl_29
sample-1_10_102032|237|18	sample-1_10_102032	16016	16726	-	False	gene74	cl_457
sample-1_10_102032|251|19	sample-1_10_102032	16726	17478	-	False	gene75	cl_26
sample-1_10_102032|491|20	sample-1_10_102032	17554	19026	-	False	MCP	cl_3
sample-1_10_102032|389|21	sample-1_10_102032	19058	20224	-	False	gene77	cl_824
sample-1_10_102032|86|22	sample-1_10_102032	20246	20503	-	False	gene49	cl_16
sample-1_10_102032|384|23	sample-1_10_102032	20472	21623	-	False	ZnMc	cl_526
sample-1_10_102032|82|24	sample-1_10_102032	21625	21870	-	False		cl_1517
sample-1_10_102032|155|25	sample-1_10_102032	21958	22422	-	False		cl_575
sample-1_10_102032|77|26	sample-1_10_102032	22643	22873	-	False	portal	cl_2732
sample-1_10_102032|254|27	sample-1_10_102032	22866	23627	-	False	portal	cl_4
sample-1_10_102032|257|28	sample-1_10_102032	23635	24405	-	False	portal	cl_4
sample-1_10_102032|142|29	sample-1_10_102032	24733	25158	-	False	portal	cl_4
sample-1_10_102032|77|30	sample-1_10_102032	25161	25391	-	False	TerL	cl_2708
sample-1_10_102032|417|31	sample-1_10_102032	25448	26698	-	False	TerL	cl_6
sample-1_10_102032|89|32	sample-1_10_102032	26986	27252	-	False	TerL	cl_6
sample-1_10_102032|46|33	sample-1_10_102032	27890	28027	-	False		cl_697
sample-1_10_102032|177|34	sample-1_10_102032	28085	28615	-	False	gene86	cl_197
sample-1_10_102032|105|35	sample-1_10_102032	28602	28916	-	False		cl_613
sample-1_10_102032|107|36	sample-1_10_102032	28965	29285	-	False		cl_224
sample-1_10_102032|270|37	sample-1_10_102032	29346	30155	-	False	ZnMc	cl_794
sample-1_10_102032|65|38	sample-1_10_102032	30136	30330	-	False		cl_59
sample-1_10_102032|129|39	sample-1_10_102032	30302	30688	-	False		cl_560
sample-1_10_102032|126|40	sample-1_10_102032	30678	31055	-	False	phage_O	cl_49
sample-1_10_102032|126|41	sample-1_10_102032	31048	31425	-	False		cl_50
sample-1_10_102032|120|42	sample-1_10_102032	31571	31930	-	False		cl_34
sample-1_10_102032|70|43	sample-1_10_102032	31963	32172	-	False		cl_78
sample-1_10_102032|63|44	sample-1_10_102032	32286	32474	-	False	p2	cl_716
sample-1_10_102032|87|45	sample-1_10_102032	32452	32712	-	False		cl_2086
sample-1_10_102032|64|46	sample-1_10_102032	32709	32900	-	False		cl_251
sample-1_10_102032|185|47	sample-1_10_102032	33060	33614	-	False	Thy1	cl_7
sample-1_10_102032|73|48	sample-1_10_102032	33775	33993	-	False	Thy1	cl_7
sample-1_10_102032|73|49	sample-1_10_102032	33995	34213	-	False		cl_1279
sample-1_10_102032|158|50	sample-1_10_102032	34185	34658	-	False		cl_1531
sample-1_10_102032|218|51	sample-1_10_102032	34906	35559	+	False		cl_580
sample-1_10_102032|149|52	sample-1_10_102032	36986	37432	+	False		cl_1336
sample-1_10_102032|62|53	sample-1_10_102032	37886	38071	+	False		cl_1975
sample-1_10_102032|102|54	sample-1_10_102032	38196	38501	+	False		cl_221
sample-1_10_102032|80|55	sample-1_10_102032	38521	38760	+	False		cl_647
sample-1_10_102032|60|56	sample-1_10_102032	38714	38893	+	False		cl_1287
sample-1_10_102032|155|57	sample-1_10_102032	38919	39383	+	False		cl_183
sample-1_10_102032|109|58	sample-1_10_102032	39408	39734	+	False		cl_1970
sample-1_10_102032|41|59	sample-1_10_102032	39794	39916	+	False		cl_2733
sample-1_10_102032|88|60	sample-1_10_102032	40033	40296	+	False		cl_668
sample-1_10_102032|121|61	sample-1_10_102032	40448	40810	+	False		cl_898
sample-1_10_102032|100|62	sample-1_10_102032	41259	41558	+	False		
sample-1_10_102032|71|63	sample-1_10_102032	43239	43451	+	False		cl_1941
sample-1_10_102032|67|64	sample-1_10_102032	43474	43674	+	False		cl_2181
sample-1_10_102032|93|65	sample-1_10_102032	43702	43980	+	False		cl_705
sample-1_10_102032|62|66	sample-1_10_102032	43971	44156	+	False		cl_766
sample-1_10_102032|166|67	sample-1_10_102032	44153	44650	+	False		cl_671
sample-1_10_102032|131|68	sample-1_10_102032	44601	44993	+	False		cl_681
sample-1_10_102032|187|69	sample-1_10_102032	45143	45703	+	False	RpoE	cl_36
sample-1_10_102032|124|70	sample-1_10_102032	45719	46090	+	False		cl_654
sample-1_10_102032|501|71	sample-1_10_102032	46177	47679	+	False	p4	cl_288
sample-1_10_102032|134|72	sample-1_10_102032	47751	48152	+	False		cl_672
sample-1_10_102032|35|73	sample-1_10_102032	48142	48246	+	False		
sample-1_10_102032|59|74	sample-1_10_102032	48392	48568	+	False		cl_651
sample-1_10_102032|400|75	sample-1_10_102032	50692	51891	+	False	p15	cl_670
sample-1_10_102032|94|76	sample-1_10_102032	52328	52609	+	False	cons1	cl_62
sample-1_10_102032|72|77	sample-1_10_102032	52646	52861	+	False		cl_1523
sample-1_10_102032|264|78	sample-1_10_102032	52878	53669	+	False	p13	cl_680
sample-1_10_102032|686|79	sample-1_10_102032	53721	55778	+	False	DNApB	cl_1
sample-1_10_102032|81|80	sample-1_10_102032	55836	56078	+	False	Rep_Org	cl_27
sample-1_10_102032|58|81	sample-1_10_102032	56092	56265	+	False	Rep_Org	cl_27
sample-1_10_102032|46|82	sample-1_10_102032	56273	56410	+	False	Rep_Org	cl_27
sample-1_10_102032|206|83	sample-1_10_102032	56755	57372	+	False	DnaB	cl_18
sample-1_10_102032|172|84	sample-1_10_102032	57388	57903	+	False		cl_577
sample-1_10_102032|247|85	sample-1_10_102032	57980	58720	+	False	ATP_43b	cl_230
sample-1_10_102032|210|86	sample-1_10_102032	58737	59366	+	False	p9	cl_31
sample-1_10_102032|266|87	sample-1_10_102032	59681	60478	+	False	primase	cl_2
sample-1_10_102032|43|88	sample-1_10_102032	60526	60654	+	False	primase	cl_2
sample-1_10_102032|116|89	sample-1_10_102032	60593	60940	+	False		cl_2636
sample-1_10_102032|114|90	sample-1_10_102032	60912	61253	+	False	gene48b	cl_37
sample-1_10_102032|113|91	sample-1_10_102032	61345	61683	+	False	MPP	cl_47
