protein_id	genome	start	end	strand	partial	yutin	cluster
sample-1_13_99291|67|1	sample-1_13_99291	1	201	+	True	gene53b	cl_1295
sample-1_13_99291|1595|2	sample-1_13_99291	283	5067	-	False	long_transcr	cl_44
sample-1_13_99291|4112|3	sample-1_13_99291	5069	17404	-	False		cl_5
sample-1_13_99291|658|4	sample-1_13_99291	17521	19494	-	False		cl_73
sample-1_13_99291|647|5	sample-1_13_99291	19494	21434	-	False	gene49	cl_60
sample-1_13_99291|1371|6	sample-1_13_99291	21511	25623	-	False	Tstab	cl_595
sample-1_13_99291|309|7	sample-1_13_99291	25620	26546	-	False	Ttub	cl_17
sample-1_13_99291|282|8	sample-1_13_99291	26536	27381	-	False	GIY	cl_14
sample-1_13_99291|154|9	sample-1_13_99291	27378	27839	-	False	IHF_53	cl_33
sample-1_13_99291|176|10	sample-1_13_99291	27836	28363	-	False	IHF_54	cl_32
sample-1_13_99291|188|11	sample-1_13_99291	28622	29185	-	False		cl_530
sample-1_13_99291|304|12	sample-1_13_99291	29231	30142	-	False		cl_327
sample-1_13_99291|207|13	sample-1_13_99291	30171	30791	-	False		cl_80
sample-1_13_99291|221|14	sample-1_13_99291	30825	31487	-	False		cl_35
sample-1_13_99291|173|15	sample-1_13_99291	31435	31953	-	False	holin	cl_54
sample-1_13_99291|133|16	sample-1_13_99291	32121	32519	-	False		cl_599
sample-1_13_99291|69|17	sample-1_13_99291	32530	32736	-	False		cl_649
sample-1_13_99291|515|18	sample-1_13_99291	32739	34283	-	False		cl_2346
sample-1_13_99291|620|19	sample-1_13_99291	34331	36190	-	False		cl_553
sample-1_13_99291|133|20	sample-1_13_99291	36412	36810	-	False	Pept_M15	cl_541
sample-1_13_99291|64|21	sample-1_13_99291	36810	37001	-	False		cl_202
sample-1_13_99291|188|22	sample-1_13_99291	36998	37561	-	False		cl_868
sample-1_13_99291|916|23	sample-1_13_99291	37551	40298	-	False		cl_115
sample-1_13_99291|524|24	sample-1_13_99291	40301	41872	-	False		cl_584
sample-1_13_99291|90|25	sample-1_13_99291	41874	42143	-	False		cl_238
sample-1_13_99291|797|26	sample-1_13_99291	42147	44537	-	False		cl_551
sample-1_13_99291|106|27	sample-1_13_99291	44735	45052	-	False		cl_597
sample-1_13_99291|195|28	sample-1_13_99291	45046	45630	-	False		cl_199
sample-1_13_99291|325|29	sample-1_13_99291	45710	46684	-	False	gene73	cl_1350
sample-1_13_99291|243|30	sample-1_13_99291	46804	47532	-	False	gene74	cl_29
sample-1_13_99291|232|31	sample-1_13_99291	47532	48227	-	False	gene74	cl_525
sample-1_13_99291|251|32	sample-1_13_99291	48227	48979	-	False	gene75	cl_26
sample-1_13_99291|217|33	sample-1_13_99291	48986	49636	-	False	GIY	cl_14
sample-1_13_99291|491|34	sample-1_13_99291	49710	51182	-	False	MCP	cl_3
sample-1_13_99291|388|35	sample-1_13_99291	51215	52378	-	False	gene77	cl_824
sample-1_13_99291|79|36	sample-1_13_99291	52396	52632	-	False	gene49	cl_16
sample-1_13_99291|106|37	sample-1_13_99291	52625	52942	-	False		cl_3078
sample-1_13_99291|706|38	sample-1_13_99291	52920	55037	-	False	ZnMc	cl_526
sample-1_13_99291|82|39	sample-1_13_99291	55066	55311	-	False		cl_1517
sample-1_13_99291|125|40	sample-1_13_99291	55400	55774	-	False		cl_136
sample-1_13_99291|822|41	sample-1_13_99291	55776	58241	-	False	portal	cl_4
sample-1_13_99291|1081|42	sample-1_13_99291	58283	61525	-	False	TerL	cl_6
sample-1_13_99291|47|43	sample-1_13_99291	62174	62314	-	False		cl_697
sample-1_13_99291|177|44	sample-1_13_99291	62372	62902	-	False	gene86	cl_197
sample-1_13_99291|103|45	sample-1_13_99291	62889	63197	-	False		cl_613
sample-1_13_99291|118|46	sample-1_13_99291	63199	63552	-	False		cl_224
sample-1_13_99291|112|47	sample-1_13_99291	63662	63997	-	False		cl_684
sample-1_13_99291|140|48	sample-1_13_99291	63997	64416	-	False	ZnMc	cl_794
sample-1_13_99291|64|49	sample-1_13_99291	64400	64591	-	False		cl_59
sample-1_13_99291|131|50	sample-1_13_99291	64563	64955	-	False		cl_770
sample-1_13_99291|131|51	sample-1_13_99291	64930	65322	-	False	phage_O	cl_49
sample-1_13_99291|127|52	sample-1_13_99291	65315	65695	-	False		cl_50
sample-1_13_99291|119|53	sample-1_13_99291	65803	66159	-	False		cl_34
sample-1_13_99291|67|54	sample-1_13_99291	66214	66414	-	False		cl_78
sample-1_13_99291|108|55	sample-1_13_99291	66401	66724	-	False	p2	cl_581
sample-1_13_99291|82|56	sample-1_13_99291	66693	66938	-	False		cl_1097
sample-1_13_99291|64|57	sample-1_13_99291	66935	67126	-	False		cl_251
sample-1_13_99291|266|58	sample-1_13_99291	67329	68126	-	False	Thy1	cl_7
sample-1_13_99291|76|59	sample-1_13_99291	68132	68359	-	False		cl_1279
sample-1_13_99291|77|60	sample-1_13_99291	68702	68932	+	False		cl_2180
sample-1_13_99291|85|61	sample-1_13_99291	68929	69183	+	False		
sample-1_13_99291|169|62	sample-1_13_99291	69190	69696	+	False		cl_3185
sample-1_13_99291|221|63	sample-1_13_99291	69865	70527	+	False	p5	cl_1280
sample-1_13_99291|56|64	sample-1_13_99291	72064	72231	-	False		
sample-1_13_99291|120|65	sample-1_13_99291	72278	72637	+	False		cl_609
sample-1_13_99291|101|66	sample-1_13_99291	72588	72890	+	False		cl_221
sample-1_13_99291|64|67	sample-1_13_99291	72887	73078	+	False		cl_2361
sample-1_13_99291|133|68	sample-1_13_99291	73071	73469	+	False		cl_647
sample-1_13_99291|161|69	sample-1_13_99291	73508	73990	+	False		cl_183
sample-1_13_99291|84|70	sample-1_13_99291	74431	74682	+	False		cl_668
sample-1_13_99291|206|71	sample-1_13_99291	74696	75313	+	False		cl_898
sample-1_13_99291|93|72	sample-1_13_99291	75273	75551	+	False		cl_1362
sample-1_13_99291|130|73	sample-1_13_99291	75703	76092	+	False		
sample-1_13_99291|77|74	sample-1_13_99291	76064	76294	+	False		cl_1395
sample-1_13_99291|156|75	sample-1_13_99291	76335	76802	+	False		cl_691
sample-1_13_99291|100|76	sample-1_13_99291	77818	78117	+	False		cl_705
sample-1_13_99291|63|77	sample-1_13_99291	78108	78296	+	False		cl_766
sample-1_13_99291|162|78	sample-1_13_99291	78293	78778	+	False		cl_671
sample-1_13_99291|144|79	sample-1_13_99291	78738	79169	+	False		cl_681
sample-1_13_99291|187|80	sample-1_13_99291	79181	79741	+	False	RpoE	cl_36
sample-1_13_99291|126|81	sample-1_13_99291	79754	80131	+	False		cl_654
sample-1_13_99291|515|82	sample-1_13_99291	80201	81745	+	False	p4	cl_288
sample-1_13_99291|134|83	sample-1_13_99291	81816	82217	+	False		cl_672
sample-1_13_99291|152|84	sample-1_13_99291	82207	82662	+	False		cl_651
sample-1_13_99291|216|85	sample-1_13_99291	84741	85388	+	False	p15	cl_670
sample-1_13_99291|200|86	sample-1_13_99291	85397	85996	+	False	p15	cl_776
sample-1_13_99291|168|87	sample-1_13_99291	86144	86647	+	False	cons1	cl_1132
sample-1_13_99291|270|88	sample-1_13_99291	86764	87573	+	False	p13	cl_680
sample-1_13_99291|76|89	sample-1_13_99291	87573	87800	+	False		cl_3079
sample-1_13_99291|421|90	sample-1_13_99291	88116	89378	+	False	DNApB	cl_1
sample-1_13_99291|301|91	sample-1_13_99291	89534	90436	+	False	DNApB	cl_1
sample-1_13_99291|190|92	sample-1_13_99291	90492	91061	+	False	Rep_Org	cl_27
sample-1_13_99291|327|93	sample-1_13_99291	91042	92022	+	False	DnaB	cl_18
sample-1_13_99291|172|94	sample-1_13_99291	92038	92553	+	False		cl_577
sample-1_13_99291|201|95	sample-1_13_99291	92801	93403	+	False	HNH	cl_332
sample-1_13_99291|232|96	sample-1_13_99291	93484	94179	+	False	ATP_43b	cl_222
sample-1_13_99291|201|97	sample-1_13_99291	94219	94821	+	False	p9	cl_31
