protein_id	genome	start	end	strand	partial	yutin	cluster
sample-1_2_180874|214|1	sample-1_2_180874	1	642	+	True		cl_601
sample-1_2_180874|256|2	sample-1_2_180874	713	1480	+	False		cl_2261
sample-1_2_180874|180|3	sample-1_2_180874	1546	2085	-	False		cl_2588
sample-1_2_180874|65|4	sample-1_2_180874	2078	2272	-	False		cl_1552
sample-1_2_180874|53|5	sample-1_2_180874	2320	2478	-	False		cl_1907
sample-1_2_180874|66|6	sample-1_2_180874	2484	2681	-	False	FeThRed	cl_617
sample-1_2_180874|144|7	sample-1_2_180874	2678	3109	-	False		cl_1936
sample-1_2_180874|79|8	sample-1_2_180874	3314	3550	-	False		cl_1824
sample-1_2_180874|37|9	sample-1_2_180874	3547	3657	-	False		cl_1544
sample-1_2_180874|125|10	sample-1_2_180874	3654	4028	-	False		cl_1232
sample-1_2_180874|85|11	sample-1_2_180874	4031	4285	-	False		cl_1380
sample-1_2_180874|32|12	sample-1_2_180874	4780	4875	+	False		cl_2726
sample-1_2_180874|161|13	sample-1_2_180874	4939	5421	+	False		cl_1767
sample-1_2_180874|66|14	sample-1_2_180874	5529	5726	+	False		cl_1765
sample-1_2_180874|85|15	sample-1_2_180874	5819	6073	+	False		cl_2023
sample-1_2_180874|106|16	sample-1_2_180874	6091	6408	+	False		cl_1801
sample-1_2_180874|96|17	sample-1_2_180874	6956	7243	+	False		cl_2903
sample-1_2_180874|97|18	sample-1_2_180874	7258	7548	+	False		cl_1847
sample-1_2_180874|269|19	sample-1_2_180874	7888	8694	+	False		cl_2046
sample-1_2_180874|180|20	sample-1_2_180874	8734	9273	+	False		cl_2172
sample-1_2_180874|115|21	sample-1_2_180874	9270	9614	+	False		cl_1828
sample-1_2_180874|78|22	sample-1_2_180874	9617	9850	+	False		cl_2471
sample-1_2_180874|81|23	sample-1_2_180874	9861	10103	+	False		cl_1683
sample-1_2_180874|54|24	sample-1_2_180874	10213	10374	+	False		cl_1799
sample-1_2_180874|208|25	sample-1_2_180874	10416	11039	+	False		cl_1920
sample-1_2_180874|118|26	sample-1_2_180874	11200	11553	+	False		cl_1316
sample-1_2_180874|118|27	sample-1_2_180874	12232	12585	+	False		cl_2590
sample-1_2_180874|94|28	sample-1_2_180874	12582	12863	+	False		cl_1894
sample-1_2_180874|166|29	sample-1_2_180874	12890	13387	+	False		cl_1604
sample-1_2_180874|232|30	sample-1_2_180874	13384	14079	+	False		cl_1779
sample-1_2_180874|565|31	sample-1_2_180874	14460	16154	+	False		cl_586
sample-1_2_180874|113|32	sample-1_2_180874	16826	17164	+	False		cl_1800
sample-1_2_180874|94|33	sample-1_2_180874	17161	17442	+	False		cl_838
sample-1_2_180874|113|34	sample-1_2_180874	17532	17870	+	False		cl_1724
sample-1_2_180874|96|35	sample-1_2_180874	17833	18120	+	False		cl_1782
sample-1_2_180874|102|36	sample-1_2_180874	18117	18422	+	False		cl_1908
sample-1_2_180874|48|37	sample-1_2_180874	19521	19664	+	False		cl_2958
sample-1_2_180874|108|38	sample-1_2_180874	20219	20542	+	False		cl_1784
sample-1_2_180874|98|39	sample-1_2_180874	20532	20825	+	False		cl_1823
sample-1_2_180874|64|40	sample-1_2_180874	20835	21026	+	False		cl_1783
sample-1_2_180874|101|41	sample-1_2_180874	21384	21686	+	False		cl_1934
sample-1_2_180874|194|42	sample-1_2_180874	21977	22558	+	False		cl_1935
sample-1_2_180874|174|43	sample-1_2_180874	23041	23562	+	False		cl_321
sample-1_2_180874|654|44	sample-1_2_180874	23576	25537	+	False	Prohibitin	cl_441
sample-1_2_180874|96|45	sample-1_2_180874	25765	26052	+	False		cl_1121
sample-1_2_180874|298|46	sample-1_2_180874	26163	27056	+	False		cl_285
sample-1_2_180874|127|47	sample-1_2_180874	28012	28392	+	False		cl_953
sample-1_2_180874|311|48	sample-1_2_180874	28396	29328	+	False		cl_1007
sample-1_2_180874|356|49	sample-1_2_180874	29335	30402	+	False		cl_1088
sample-1_2_180874|88|50	sample-1_2_180874	30687	30950	+	False		cl_548
sample-1_2_180874|486|51	sample-1_2_180874	30954	32411	+	False	AAA_ATP_2	cl_549
sample-1_2_180874|73|52	sample-1_2_180874	32459	32677	+	False		cl_1835
sample-1_2_180874|59|53	sample-1_2_180874	32783	32959	+	False		cl_1243
sample-1_2_180874|153|54	sample-1_2_180874	32943	33401	+	False		cl_1898
sample-1_2_180874|275|55	sample-1_2_180874	33403	34227	+	False		cl_982
