"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Deltapolyomavirus;Human polyomavirus 10",3.80960117523034,-1.87972118572438,0.566019470787719,-3.32094792270734,0.000897122752153609,0.0132121714408077
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Dependoparvovirus;Adeno-associated virus",1.35268475746191,1.18214524030517,0.389620076451963,3.03409734701112,0.00241256568209317,0.0300642800383918
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Dependoparvovirus;unclassified Dependoparvovirus species",1.19314394478925,1.09293923537849,0.365471571133686,2.99049042853926,0.00278529858156461,0.0322298835866762
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus;Marmot picobirnavirus",1.25083225620286,1.28943517979414,0.370156889680359,3.48348285751915,0.000494934816477419,0.00970265397780914
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus;Picobirnavirus sp.",7.86436193318244,2.47882609644715,0.590788188502546,4.19579494764471,2.71916172947334e-05,0.000734173666957801
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Enterovirus;Rhinovirus C",1.45464610123918,-1.65367439879345,0.420084369960417,-3.93652922375872,8.26685572304922e-05,0.00191318661019139
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;Picornavirales sp.",2.71737180447677,-2.56760509236171,0.470532331002829,-5.45680907173683,4.84767119436482e-08,3.9266136674355e-06
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Astrovirus MLB3",4.45408982998049,2.12206821346714,0.468235435607026,4.53205386028947,5.84129507177273e-06,0.000315429933875728
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Human astrovirus MLB2",1.92378203845744,-1.95955023445523,0.466175333271402,-4.20346186209385,2.62863458577073e-05,0.000734173666957801
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Adenovirus Lopburi070_2006_THA",4.3735911987058,-2.93242854065928,0.519808602550429,-5.64136208264231,1.6871015004551e-08,2.73310443073726e-06
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Simian mastadenovirus D",3.63348873656579,-2.1648108053926,0.507799009215154,-4.26312530372696,2.01587399771541e-05,0.000734173666957801
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;unclassified Adenoviridae genus;Pan troglodytes adenovirus",1.82467649220083,-1.54340053865027,0.463195838057451,-3.33206909872718,0.000862028498557276,0.0132121714408077
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gyrovirus;Avian gyrovirus 2",2.83910073953476,1.64411335559986,0.502137159425318,3.27423160134475,0.00105949735533236,0.0143032142969869
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;unclassified Anelloviridae genus;Human anellovirus zj-ad 1",4.21910429626507,-2.03630064849189,0.588429538224629,-3.46056837091435,0.000539036332100508,0.00970265397780914
