	family_portal	family_TerL	family_MCP	subfamily_portal	subfamily_TerL	subfamily_MCP	genus_portal	genus_TerL	genus_MCP	coding	shared_prot_ref	prot_most_similar_ref_family	prot_most_similar_ref_genus	ani_most_similar_genome	ani_most_similar_ref_genome	genus_most_similar_ref_genome	species_most_similar_ref_genome	ani_qcov	ani_pid	ani_genus	ani_genus_cluster	ani_species	ani_species_cluster
sample-1_1093_6313	Zeta	Zeta	not_found	Zeta	Zeta	not_found	Zeta_4	Zeta_4	not_found	11	100.0	Zeta	Zeta_1,Zeta_10,Zeta_12,Zeta_2,Zeta_3,Zeta_4,Zeta_6,Zeta_8	OLNL01000026	OLNL01000026	Zeta_4	Zeta_4_1	99.79	98.73	Zeta_4	genus__8	Zeta_4_1	species__46
sample-1_10_102032	Suoliviridae	Suoliviridae	Suoliviridae	Loutivirinae	Loutivirinae	Loutivirinae	Blohavirus	Blohavirus	Blohavirus	TAG	79.3	Suoliviridae	Blohavirus	sample-1_9_104613	ERR844016_ms_1	Blohavirus	Blohavirus americanus	73.98	96.09	Blohavirus	genus__11	species__38	species__38
sample-1_11_101626	Suoliviridae	Suoliviridae	Suoliviridae	unknown	unknown	unknown	unknown	unknown	unknown	TAG	43.8	Suoliviridae	Birpovirus	MN037_S1_79	MN037_S1_79	Aurodevirus	Aurodevirus hominis	14.14	76.98	genus__44	genus__44	species__51	species__51
sample-1_12_101623	Suoliviridae	Suoliviridae	Suoliviridae	Loutivirinae	Loutivirinae	Loutivirinae	Buchavirus	Buchavirus	Buchavirus	TAG	88.6	Suoliviridae	Buchavirus	OJPW01000082	OJPW01000082	Buchavirus	Buchavirus intestinalis	74.13	96.3	Buchavirus	genus__22	species__100	species__100
sample-1_13_99291	Suoliviridae	Suoliviridae	Suoliviridae	Loutivirinae	Loutivirinae	Loutivirinae	unknown	unknown	unknown	TAG	71.2	Suoliviridae	Buorbuivirus	OLNI01000077	OLNI01000077	Aurodevirus	Aurodevirus intestinalis	47.99	80.67	genus__52	genus__52	species__111	species__111
sample-1_15_98423	Steigviridae	Steigviridae	Steigviridae	Asinivirinae	Asinivirinae	Asinivirinae	Kolpuevirus	Kolpuevirus	Kolpuevirus	11	93.8	Steigviridae	Kolpuevirus	OLPO01000063	OLPO01000063	Kolpuevirus	Kolpuevirus hominis	92.81	98.7	Kolpuevirus	genus__15	Kolpuevirus hominis	species__32
sample-1_16_98401	Suoliviridae	Suoliviridae	Suoliviridae	Uncouvirinae	Uncouvirinae	Uncouvirinae	Aurodevirus	Aurodevirus	Aurodevirus	TAG	95.3	Suoliviridae	Aurodevirus	3300008360_____Ga0114875_1000146	3300008360_____Ga0114875_1000146	Aurodevirus	Aurodevirus hiberniae	99.79	99.34	Aurodevirus	genus__24	Aurodevirus hiberniae	species__5
sample-1_17_96846	Intestiviridae	Intestiviridae	Intestiviridae	Churivirinae	Churivirinae	Churivirinae	Jahgtovirus	Jahgtovirus	Jahgtovirus	11	93.3	Intestiviridae	Jahgtovirus	SRS143417_NODE_148_length_97094_cov_7.69295	SRS143417_NODE_148_length_97094_cov_7.69295	Jahgtovirus	Jahgtovirus intestinalis	97.42	98.0	Jahgtovirus	genus__53	Jahgtovirus intestinalis	species__9
sample-1_18_96565	Suoliviridae	Suoliviridae	Suoliviridae	Loutivirinae	Loutivirinae	Loutivirinae	Blohavirus	Blohavirus	Blohavirus	TAG	89.8	Suoliviridae	Blohavirus	ERR844016_ms_1	ERR844016_ms_1	Blohavirus	Blohavirus americanus	97.89	97.74	Blohavirus	genus__11	Blohavirus americanus	species__40
sample-1_1971_3823	unknown	not_found	not_found	unknown	not_found	not_found	unknown	not_found	not_found	11	85.7	Zeta	Zeta_4	OLNL01000026	OLNL01000026	Zeta_4	Zeta_4_1	83.0	90.1	Zeta_4	genus__8	species__132	species__132
