"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",0.0564693879665195,4.12509550259611,0.0136892316628744,0.989077914532154
"2","fixed",NA,"CountryUSA",19.0143373791794,13728.568566147,0.00138501966083095,0.998894914549525
"3","fixed",NA,"SexMale",-0.0992584089408306,1.20425235292739,-0.0824232634460257,0.934310137431999
"4","fixed",NA,"Delivery.ModeVaginal",-18.8299657143,13728.5685746255,-0.00137158987930493,0.998905629954681
"5","fixed",NA,"HLA.CategoryLow/No Risk",-46.0998140996524,952085.14037012,-4.84198441346656e-05,0.999961366553944
"6","fixed",NA,"HLA.CategoryStandard Risk",-0.44724881532178,1.14292906784102,-0.391318086052905,0.695562131874843
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",0.638812499071699,1.30367794803079,0.490007904204125,0.624128305635216
"8","fixed",NA,"feeding_first_yearFormula",1.49765416481155,1.34267764813296,1.11542347256177,0.264668995561664
"9","fixed",NA,"as.numeric(Age.at.Gluten.Introduction..months.)",0.0386464751636281,0.253876547174515,0.152225463886834,0.879009110725836
"10","fixed",NA,"as.numeric(Age.at.Solid.Introduction..months.)",-0.468523211884639,0.601734708064075,-0.778620886589692,0.436203071705702
"11","fixed",NA,"Dx.StatusCELIAC:month",-0.0862751882618835,0.0643793831295743,-1.34010585482374,0.180210932896183
"12","fixed",NA,"Dx.StatusCONTROL:month",-0.0942483800372619,0.0690806006817829,-1.36432484817863,0.172465348770007
"13","ran_pars","patientID","sd__(Intercept)",3.31306339121946e-07,NA,NA,NA
