"","joint_model.statistics.P.gammas"
"Virus",0.248222222222222
"CountryUSA",0.731777777777778
"SexMale",0
"Delivery.ModeVaginal",0.000444444444444444
"HLA.CategoryLow/No Risk",0.867777777777778
"HLA.CategoryStandard Risk",0.867333333333333
"feeding_first_yearBreastmilk_and_formula",0.230666666666667
"feeding_first_yearFormula",0.585111111111111
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.587555555555556
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.804666666666667
"Age.at.Solid.Introduction..months.5",0.129777777777778
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.00333333333333333
"Age.at.Solid.Introduction..months.8",0
