"","joint_model.statistics.P.betas1"
"(Intercept)",0.213333333333333
"month",0
"Dx.Status",0
"CountryUSA",0.278666666666667
"SexMale",0
"Delivery.ModeVaginal",0.0382222222222222
"HLA.CategoryLow/No Risk",0.651555555555556
"HLA.CategoryStandard Risk",0.887555555555556
"feeding_first_yearBreastmilk_and_formula",0
"feeding_first_yearFormula",0.657555555555556
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0.000666666666666667
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.114666666666667
"Age.at.Solid.Introduction..months.5",0.325111111111111
"Age.at.Solid.Introduction..months.6",0.826222222222222
"Age.at.Solid.Introduction..months.7",0.670222222222222
"Age.at.Solid.Introduction..months.8",0
