"","joint_model.statistics.P.gammas"
"Virus",0.735111111111111
"CountryUSA",0.916444444444444
"SexMale",0
"Delivery.ModeVaginal",0.0457777777777778
"HLA.CategoryLow/No Risk",0.964
"HLA.CategoryStandard Risk",0.755777777777778
"feeding_first_yearBreastmilk_and_formula",0.176222222222222
"feeding_first_yearFormula",0.663111111111111
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.847111111111111
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.406666666666667
"Age.at.Solid.Introduction..months.5",0.0151111111111111
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.006
"Age.at.Solid.Introduction..months.8",0
