"","joint_model.statistics.P.gammas"
"Virus",0.638888888888889
"CountryUSA",0.949333333333333
"SexMale",0
"Delivery.ModeVaginal",0.200888888888889
"HLA.CategoryLow/No Risk",0.626222222222222
"HLA.CategoryStandard Risk",0.901111111111111
"feeding_first_yearBreastmilk_and_formula",0.0648888888888889
"feeding_first_yearFormula",0.553333333333333
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.886888888888889
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.995111111111111
"Age.at.Solid.Introduction..months.5",0.133777777777778
"Age.at.Solid.Introduction..months.6",0.00577777777777778
"Age.at.Solid.Introduction..months.7",0.000444444444444444
"Age.at.Solid.Introduction..months.8",0
