"","joint_model.statistics.P.gammas"
"Virus",0.198444444444444
"CountryUSA",0.854444444444444
"SexMale",0.665333333333333
"Delivery.ModeVaginal",0.0971111111111111
"HLA.CategoryLow/No Risk",0.570222222222222
"HLA.CategoryStandard Risk",0.311333333333333
"feeding_first_yearBreastmilk_and_formula",0.188
"feeding_first_yearFormula",0.0368888888888889
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.918888888888889
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.745111111111111
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.137555555555556
"Age.at.Solid.Introduction..months.8",0
