"","joint_model.statistics.P.betas1"
"(Intercept)",0.775555555555556
"month",0.801333333333333
"Dx.Status",0
"CountryUSA",0.212222222222222
"SexMale",0.0935555555555556
"Delivery.ModeVaginal",0.758888888888889
"HLA.CategoryLow/No Risk",0.0206666666666667
"HLA.CategoryStandard Risk",0.677555555555556
"feeding_first_yearBreastmilk_and_formula",0.134888888888889
"feeding_first_yearFormula",0.123777777777778
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.628
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0.540444444444444
"Age.at.Gluten.Introduction..months.8",0.519333333333333
"Age.at.Gluten.Introduction..months.9",0.000222222222222222
"Age.at.Solid.Introduction..months.4",0.175777777777778
"Age.at.Solid.Introduction..months.5",0.114444444444444
"Age.at.Solid.Introduction..months.6",0.284444444444444
"Age.at.Solid.Introduction..months.7",0.768666666666667
"Age.at.Solid.Introduction..months.8",0.0242222222222222
