"","joint_model.statistics.P.gammas"
"Virus",0.038
"CountryUSA",0.497555555555556
"SexMale",0.666666666666667
"Delivery.ModeVaginal",0
"HLA.CategoryLow/No Risk",0.976222222222222
"HLA.CategoryStandard Risk",0.822666666666667
"feeding_first_yearBreastmilk_and_formula",0.163777777777778
"feeding_first_yearFormula",0.594
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.554222222222222
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.265777777777778
"Age.at.Solid.Introduction..months.5",0.00444444444444444
"Age.at.Solid.Introduction..months.6",0.0297777777777778
"Age.at.Solid.Introduction..months.7",0.177111111111111
"Age.at.Solid.Introduction..months.8",0
