"","joint_model.statistics.P.gammas"
"Virus",0.191555555555556
"CountryUSA",0.0437777777777778
"SexMale",0.225111111111111
"Delivery.ModeVaginal",0.0564444444444444
"HLA.CategoryLow/No Risk",0.872888888888889
"HLA.CategoryStandard Risk",0.959333333333333
"feeding_first_yearBreastmilk_and_formula",0.984444444444444
"feeding_first_yearFormula",0.304
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.674222222222222
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
