"","joint_model.statistics.P.gammas"
"Virus",0.0733333333333333
"CountryUSA",0.378
"SexMale",0.01
"Delivery.ModeVaginal",0.0422222222222222
"HLA.CategoryLow/No Risk",0.101555555555556
"HLA.CategoryStandard Risk",0.00822222222222222
"feeding_first_yearBreastmilk_and_formula",0.547555555555556
"feeding_first_yearFormula",0.271777777777778
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.856444444444444
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.00511111111111111
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.00133333333333333
"Age.at.Solid.Introduction..months.8",0
