"","joint_model.statistics.P.gammas"
"Virus",0.969777777777778
"CountryUSA",0.928666666666667
"SexMale",0
"Delivery.ModeVaginal",0.765777777777778
"HLA.CategoryLow/No Risk",0.812
"HLA.CategoryStandard Risk",0.828666666666667
"feeding_first_yearBreastmilk_and_formula",0.291555555555556
"feeding_first_yearFormula",0.0133333333333333
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.826444444444444
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.472
"Age.at.Solid.Introduction..months.5",0.0737777777777778
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.0122222222222222
"Age.at.Solid.Introduction..months.8",0
