"","joint_model.statistics.P.betas1"
"(Intercept)",0.294666666666667
"month",0
"Dx.Status",0
"CountryUSA",0.998
"SexMale",0
"Delivery.ModeVaginal",0.048
"HLA.CategoryLow/No Risk",0.890888888888889
"HLA.CategoryStandard Risk",0.695333333333333
"feeding_first_yearBreastmilk_and_formula",0.137777777777778
"feeding_first_yearFormula",0.798
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.338444444444444
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0.00355555555555556
"Age.at.Gluten.Introduction..months.8",0.0755555555555556
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.00333333333333333
"Age.at.Solid.Introduction..months.5",0.0953333333333333
"Age.at.Solid.Introduction..months.6",0.284666666666667
"Age.at.Solid.Introduction..months.7",0.0928888888888889
"Age.at.Solid.Introduction..months.8",0.0575555555555556
