"","joint_model.statistics.P.gammas"
"Virus",0.834222222222222
"CountryUSA",0.423333333333333
"SexMale",0.00377777777777778
"Delivery.ModeVaginal",0.000222222222222222
"HLA.CategoryLow/No Risk",0.462666666666667
"HLA.CategoryStandard Risk",0.116444444444444
"feeding_first_yearBreastmilk_and_formula",0.272222222222222
"feeding_first_yearFormula",0.793777777777778
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.635333333333333
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.0144444444444444
"Age.at.Solid.Introduction..months.8",0
