"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;unclassified Papillomaviridae genus;unclassified Papillomaviridae species",1.73665808257463,1.26375720306217,0.395121705541095,3.19839984829871,0.00138192524568474,0.0050493422438481
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",3.72583175058472,-2.32201828752657,0.412466780150897,-5.62958860996533,1.80639952454974e-08,2.45154221188894e-07
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus chimpanzee_PT-LM1861_CMR",1.19547255460174,-1.09409393123561,0.318605806723652,-3.43400499346388,0.00059473323979419,0.00245650686001948
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus PgBoV-1",3.42561964258674,-2.51242367614939,0.365873026510664,-6.86692785229457,6.55992244719517e-12,1.24638526496708e-10
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Human bocavirus",806.872874482063,-7.28564934354291,0.60905771665781,-11.9621657263005,5.60799418980726e-33,1.7758648267723e-31
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 1",13.595805243052,-3.84149841983479,0.462262297068414,-8.31021358262807,9.55299737355319e-17,2.26883687621888e-15
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 2",1998.53726095374,-8.4129583959468,0.646763333399994,-13.007785014219,1.10498688612269e-38,5.24868770908276e-37
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;unclassified Bocaparvovirus species",6047.12420319768,-10.40461012432,0.708489267911613,-14.6856284146537,7.96919653029428e-49,7.57073670377957e-47
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Protoparvovirus;Ungulate protoparvovirus 1",1.38452104016123,-1.45783630490865,0.325043600278569,-4.48504847860181,7.28973587149779e-06,5.77104089826908e-05
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;unclassified Parvoviridae genus;unclassified Parvoviridae species",4.77872044100956,-2.56626222351203,0.451761342737543,-5.68057064812412,1.34246085865696e-08,2.12556302620685e-07
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus;Human picobirnavirus",1.14627782536709,-0.80113707572311,0.329306094207049,-2.4328036735919,0.0149824221216298,0.0431360874358171
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;Picobirnavirus;Marmot picobirnavirus",1.10334533026977,-0.778286252609608,0.327545170018843,-2.37611884969891,0.0174958264476678,0.0488853974273072
