"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;unclassified Papillomaviridae genus;unclassified Papillomaviridae species",1.73665808257463,-0.970603685176888,0.290097773365492,-3.34578123064058,0.000820511050075685,0.00414358080288221
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",3.72583175058472,0.973237485093719,0.356520181742677,2.72982438283442,0.00633680724920821,0.021333917739001
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus PgBoV-1",3.42561964258674,0.993599854597625,0.324496417973664,3.06197480022188,0.00219881962962598,0.00822521417008237
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Human bocavirus",806.872874482063,1.81649309028723,0.505888303580244,3.59069991820654,0.000329791159881838,0.0018683134554977
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 2",1998.53726095374,1.75582038697009,0.53451750293735,3.28486977006604,0.00102029519196147,0.00489595169452733
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;unclassified Bocaparvovirus species",6047.12420319768,1.89160575690432,0.581757867709406,3.25153446459137,0.00114783858370812,0.00489595169452733
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Dependoparvovirus;Adeno-associated dependoparvovirus A",4.3265887474434,-2.1210842312731,0.346407955039332,-6.12308176072997,9.17825666176781e-10,2.31750980709637e-08
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;unclassified Parvoviridae genus;unclassified Parvoviridae species",4.77872044100956,0.969505735511386,0.387833272953575,2.49980030884931,0.0124263328922074,0.0404857942617081
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;unclassified Caliciviridae genus;unclassified Caliciviridae species",14.9911512434785,2.11013767819326,0.379201219199739,5.56469117543045,2.62617079080597e-08,4.42072083119005e-07
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Cardiovirus;Cardiovirus B",5943.08094636473,2.73697648811665,0.496116343796432,5.5168037141701,3.45220638466049e-08,4.98104064072441e-07
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Cardiovirus;unclassified Cardiovirus species",331.154076504196,2.49891028572814,0.431003385021329,5.79789016182431,6.71544098092975e-09,1.35651907814781e-07
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;unclassified Picornavirales species",7.82674703947595,1.48674616576456,0.348506700092307,4.26604758350636,1.98966361764496e-05,0.000223284472646823
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human adenovirus sp.",1.26152583483061,-1.15398401106887,0.293423209570802,-3.93283139652393,8.39511235643593e-05,0.000646176729745787
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus A",22.8698160907631,1.05535880304347,0.368888897403469,2.86091235185423,0.00422423818283492,0.0149515764281241
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus C",81.7954265267753,-2.99217798414068,0.405135427131684,-7.38562412407374,1.51739902679454e-13,1.53257301706248e-11
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;unidentified adenovirus",6.32519895240233,-2.4583562277788,0.356598555049676,-6.89390406373446,5.42816387424067e-12,2.74122275649154e-10
