"effect","component","term","estimate","std.error","statistic","p.value","gene"
"fixed","cond","(Intercept)",33.8537771063107,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC",-11.1342003778713,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-6",1.04180712528468,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-12",-24.9182588652019,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-18",-28.8240040261273,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-24",4.02241395036624,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-30",-5.392068521948,NA,NA,NA,"edge_187"
"fixed","cond","onset_timeline_combinedt0-36",-3.6536292900714,NA,NA,NA,"edge_187"
"fixed","cond","SexMale",-9.58757358939853,NA,NA,NA,"edge_187"
"fixed","cond","Age.at.Gluten.Introduction..months.",-3.70693521254399,NA,NA,NA,"edge_187"
"fixed","cond","HLA.CategoryHigh Risk",9.82927712037807,NA,NA,NA,"edge_187"
"fixed","cond","HLA.CategoryLow/No Risk",-8.65828663603752,NA,NA,NA,"edge_187"
"fixed","cond","feeding_first_yearFormula",-5.03361636955955,NA,NA,NA,"edge_187"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",-12.1131424424472,NA,NA,NA,"edge_187"
"fixed","cond","Delivery.ModeC-Section",0.105627721573412,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-28.0272035569658,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",42.755349452038,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-9.32127803069132,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-16.7549552710105,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-9.6932063258151,NA,NA,NA,"edge_187"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-7.16019841548319,NA,NA,NA,"edge_187"
"fixed","cond","(Intercept)",-117.565897491819,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC",58.1121475460836,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-6",87.6461700604129,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-12",-50.0333646555853,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-18",-52.1571024296495,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-24",85.7199789421428,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-30",-33.1597712275891,NA,NA,NA,"edge_1980"
"fixed","cond","onset_timeline_combinedt0-36",-30.2821104308863,NA,NA,NA,"edge_1980"
"fixed","cond","SexMale",28.6635866490297,NA,NA,NA,"edge_1980"
"fixed","cond","Age.at.Gluten.Introduction..months.",5.32270075032579,NA,NA,NA,"edge_1980"
"fixed","cond","HLA.CategoryHigh Risk",-121.412922513864,NA,NA,NA,"edge_1980"
"fixed","cond","HLA.CategoryLow/No Risk",-3.55466905586542,NA,NA,NA,"edge_1980"
"fixed","cond","feeding_first_yearFormula",-68.317142573,NA,NA,NA,"edge_1980"
"fixed","cond","feeding_first_yearBreastmilk_and_formula",22.5548840758007,NA,NA,NA,"edge_1980"
"fixed","cond","Delivery.ModeC-Section",-26.8187478363541,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-6",-87.8075383695042,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-12",-1.80416843315935,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-18",-2.99841463951654,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-24",-9.85118210435447,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-30",-4.38177020925549,NA,NA,NA,"edge_1980"
"fixed","cond","Dx.StatusCELIAC:onset_timeline_combinedt0-36",-0.0614783950258887,NA,NA,NA,"edge_1980"
"fixed","cond","(Intercept)",-89.3716051115316,NA,NA,NA,"edge_1986"
"fixed","cond","Dx.StatusCELIAC",61.739013673291,NA,NA,NA,"edge_1986"
"fixed","cond","onset_timeline_combinedt0-6",76.9223231195182,NA,NA,NA,"edge_1986"
