"cohort","model","n_genes","n_results"
"Italy","model1_nbinom_timepoint_specific_results",125,750
"Italy","model1_nbinom",125,2625
"Italy","model1_glmmTMB_logit_timepoint_specific_results",125,750
"Italy","model1_glmmTMB_logit",125,2625
"Italy","model2_glmmTMB_cloglog",125,2625
"Italy","model3_glmer",124,2604
"total","model1_nbinom_timepoint_specific_results",109,763
"total","model1_nbinom",109,2507
"total","model4_limma_voom",109,109
"total","model1_glmmTMB_logit_timepoint_specific_results",109,763
"total","model1_glmmTMB_logit",109,2507
"total","model2_glmmTMB_cloglog",109,2507
"total","model3_glmer",107,2461
"US","model1_nbinom_timepoint_specific_results",150,1050
"US","model1_nbinom",150,3450
"US","model4_limma_voom",150,150
"US","model1_glmmTMB_logit_timepoint_specific_results",150,1050
"US","model1_glmmTMB_logit",150,3450
"US","model2_glmmTMB_cloglog",150,3450
"US","model3_glmer",137,3151
